Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol	is_outlier	outlier_info
gene-VC_RS14045	489	462	531	322	321	323	274	321	304	host	gene-VC_RS14045	False	
gene-VC_RS05970	404	299	666	376	643	395	155	225	244	host	gene-VC_RS05970	False	
gene-VC_RS18110	312	328	412	366	363	290	426	497	533	host	gene-VC_RS18110	False	
gene-VC_RS08805	250	261	386	178	291	241	413	524	492	host	gene-VC_RS08805	False	
gene-VC_RS18245	497	522	623	408	434	342	299	361	431	host	gene-VC_RS18245	False	
gene-VC_RS16575	37	54	79	62	62	55	74	97	77	host	gene-VC_RS16575	False	
gene-VC_RS11900	831	904	884	582	629	469	306	366	387	host	gene-VC_RS11900	False	
gene-VC_RS03070	60	63	61	100	99	94	65	89	77	host	glnK	False	
gene-VC_RS11390	980	753	1032	1118	1125	821	902	1164	1291	host	thrL	False	
gene-VC_RS08405	153	151	175	155	144	112	163	213	207	host	gene-VC_RS08405	False	
gene-VPVV882_gp25	936	801	1134	9332	15378	13420	44455	56741	55961	phage	gene-VPVV882_gp25	False	
gene-VC_RS02345	367	368	416	422	569	383	386	483	440	host	gene-VC_RS02345	False	
gene-VC_RS05155	487	549	673	693	683	624	584	684	672	host	gene-VC_RS05155	False	
gene-VC_RS07825	83	72	97	105	77	84	114	151	135	host	gene-VC_RS07825	False	
gene-VC_RS06555	97	107	134	91	120	89	98	115	138	host	maiA	False	
gene-VC_RS08980	682	808	899	434	373	354	321	339	364	host	gene-VC_RS08980	False	
gene-VPVV882_gp27	79	76	77	640	1089	1085	3157	5501	4821	phage	gene-VPVV882_gp27	False	
gene-VC_RS05870	352	444	516	340	417	354	375	399	444	host	gene-VC_RS05870	False	
gene-VC_RS04875	1394	1764	2259	1559	2304	1618	2147	2127	2303	host	adk	False	
gene-VC_RS18140	110	162	181	126	163	115	158	159	201	host	gene-VC_RS18140	False	
gene-VC_RS05425	684	802	1018	750	1027	856	1289	1587	1588	host	dusC	False	
gene-VC_RS14455	1171	1157	1274	1045	1018	843	1337	1404	1396	host	gene-VC_RS14455	False	
gene-VC_RS04470	778	1394	1231	691	1038	652	740	604	692	host	syd	False	
gene-VC_RS08050	430	468	493	445	463	443	564	619	631	host	gene-VC_RS08050	False	
gene-VC_RS18155	369	500	600	336	481	386	468	519	556	host	gene-VC_RS18155	False	
gene-VC_RS08310	803	952	1068	708	782	627	806	667	781	host	cmoM	False	
gene-VC_RS08735	124	145	213	104	103	124	127	121	113	host	gene-VC_RS08735	False	
gene-VC_RS05115	398	386	499	450	602	493	466	635	648	host	cobO	False	
gene-VC_RS10010	120	104	147	138	172	133	132	217	179	host	gene-VC_RS10010	False	
gene-VC_RS11470	807	763	963	789	776	589	642	672	703	host	gene-VC_RS11470	False	
gene-VC_RS13780	175	173	180	194	224	187	226	289	312	host	soxR	False	
gene-VC_RS13840	1769	1877	2165	1192	1512	1167	1587	1828	1762	host	gene-VC_RS13840	False	
gene-VC_RS10200	849	981	1075	680	638	488	583	613	605	host	fliR	False	
gene-VC_RS14120	56	75	99	58	102	62	90	135	112	host	gene-VC_RS14120	False	
gene-VC_RS16465	167	126	162	101	124	132	138	153	173	host	gene-VC_RS16465	False	
gene-VC_RS13630	436	581	595	406	351	275	253	276	267	host	gene-VC_RS13630	False	
gene-VC_RS17745	164	217	263	172	245	210	343	438	444	host	gene-VC_RS17745	False	
gene-VC_RS13405	2777	2485	3060	1743	1362	1076	749	677	664	host	gene-VC_RS13405	False	
gene-VC_RS11340	921	1126	1246	854	974	798	887	863	936	host	yaaA	False	
gene-VC_RS03435	1238	1242	1395	1106	1367	937	1160	1274	1373	host	murJ	False	
gene-VC_RS06000	693	728	771	705	625	614	1038	848	1042	host	relV	False	
gene-VC_RS05330	523	571	584	289	276	240	159	191	209	host	gene-VC_RS05330	False	
gene-VC_RS12250	1807	1965	2232	2183	1951	1724	2619	2121	2196	host	thiB	False	
gene-VC_RS15575	568	699	1233	647	720	658	2051	1536	2221	host	gene-VC_RS15575	False	
gene-VC_RS01020	600	648	776	656	833	672	662	921	810	host	gene-VC_RS01020	False	
gene-VC_RS14095	424	449	684	320	395	312	296	274	279	host	gene-VC_RS14095	False	
gene-VC_RS01135	469	599	633	306	314	229	152	126	182	host	gene-VC_RS01135	False	
gene-VC_RS16565	189	172	176	164	171	138	135	192	199	host	gene-VC_RS16565	False	
gene-VC_RS02745	2428	2477	2841	1323	1510	1100	301	323	333	host	gene-VC_RS02745	False	
gene-VC_RS13615	222	309	311	208	207	186	119	171	160	host	gene-VC_RS13615	False	
gene-VC_RS06985	373	393	461	375	438	323	361	565	585	host	gene-VC_RS06985	False	
gene-VC_RS12355	211	217	302	169	270	258	271	298	339	host	gene-VC_RS12355	False	
gene-VPVV882_gp65	738	691	875	2335	3191	2617	4261	5732	6324	phage	gene-VPVV882_gp65	False	
gene-VC_RS09375	119	136	155	113	137	124	170	224	192	host	gene-VC_RS09375	False	
gene-VC_RS00560	768	756	933	759	874	618	622	795	789	host	hemC	False	
gene-VC_RS04385	911	918	937	695	762	708	351	350	396	host	gene-VC_RS04385	False	
gene-VC_RS10585	632	717	860	548	669	587	460	490	488	host	flgL	False	
gene-VC_RS00455	276	315	385	331	561	435	488	752	775	host	lexA	False	
gene-VC_RS12675	2391	2343	2927	2033	2064	1891	1849	1962	2079	host	aroB	False	
gene-VC_RS17080	226	278	353	173	229	210	263	248	277	host	gene-VC_RS17080	False	
gene-VC_RS11370	628	574	760	514	480	446	377	486	533	host	grcA	False	
gene-VC_RS15065	373	725	648	382	354	250	661	337	473	host	gene-VC_RS15065	False	
gene-VC_RS15155	287	278	425	333	347	343	320	402	437	host	gene-VC_RS15155	False	
gene-VC_RS13480	1833	2559	2568	1286	1425	1347	857	705	775	host	malQ	False	
gene-VC_RS16205	264	210	205	195	225	203	242	264	287	host	gene-VC_RS16205	False	
gene-VPVV882_gp58	1354	1274	2035	10086	19482	14922	42010	73977	61477	phage	gene-VPVV882_gp58	False	
gene-VC_RS10935	1281	1580	1739	945	1106	953	615	530	644	host	gene-VC_RS10935	False	
gene-VC_RS16925	61	103	88	50	92	77	81	97	102	host	glpA	False	
gene-VC_RS10305	538	594	560	394	449	357	312	551	443	host	flaG	False	
gene-VC_RS17570	349	381	422	236	165	137	208	101	166	host	gene-VC_RS17570	False	
gene-VC_RS11570	1476	2242	2167	1140	1270	1003	1254	1410	1465	host	ftsW	False	
gene-VC_RS05045	691	751	919	615	801	698	827	1065	984	host	moaA	False	
gene-VC_RS04245	428	492	734	532	866	605	515	832	890	host	bamE	False	
gene-VC_RS04700	1645	1741	2056	1172	1146	1053	835	996	959	host	rlpA	False	
gene-VC_RS07630	1951	2213	2857	1969	2371	2141	1864	2149	2283	host	almE	False	
gene-VC_RS05125	333	357	550	366	529	456	700	1020	942	host	gene-VC_RS05125	False	
gene-VC_RS02175	512	418	579	496	565	404	530	745	667	host	argR	False	
gene-VC_RS06070	2246	3103	2922	1692	1800	1358	1524	1614	1667	host	gene-VC_RS06070	False	
gene-VC_RS17220	249	252	297	253	306	267	487	519	575	host	gene-VC_RS17220	False	
gene-VC_RS04160	143	169	224	164	158	119	222	215	242	host	tcpE	False	
gene-VC_RS14090	219	258	329	168	199	139	100	168	151	host	gene-VC_RS14090	False	
gene-VC_RS16350	69	83	91	55	74	90	103	107	80	host	gene-VC_RS16350	False	
gene-VC_RS03440	1886	1956	2502	1686	2038	1678	1870	2196	2326	host	ribF	False	
gene-VC_RS02725	1642	2025	2123	1025	1386	803	601	596	667	host	cysM	False	
gene-VC_RS08750	202	209	308	224	307	312	411	462	471	host	gene-VC_RS08750	False	
gene-VC_RS02120	1918	2051	2073	1459	1379	1430	1122	1280	1395	host	rng	False	
gene-VC_RS04295	124	158	217	110	139	108	278	249	300	host	gene-VC_RS04295	False	
gene-VC_RS16210	136	145	155	163	216	121	232	244	275	host	gene-VC_RS16210	False	
gene-VC_RS18055	592	524	708	657	960	784	816	1259	1399	host	gene-VC_RS18055	False	
gene-VC_RS06175	2358	2649	2568	2338	2298	2106	1905	2020	1999	host	gene-VC_RS06175	False	
gene-VC_RS02385	144	121	142	111	128	81	130	153	149	host	tyrS	False	
gene-VC_RS08435	237	287	250	240	327	251	445	464	499	host	gene-VC_RS08435	False	
gene-VC_RS04900	1679	2022	2618	1919	2114	1765	2682	2320	2629	host	gene-VC_RS04900	False	
gene-VC_RS17605	372	364	423	325	419	296	241	308	311	host	pgl	False	
gene-VC_RS15185	109	92	141	70	76	84	79	100	90	host	gene-VC_RS15185	False	
gene-VC_RS14355	362	351	539	262	338	288	240	291	361	host	gene-VC_RS14355	False	
gene-VC_RS07665	72	74	72	70	82	61	90	81	125	host	gene-VC_RS07665	False	
gene-VC_RS08535	1288	1220	1527	1081	1212	1002	1232	1688	1648	host	gene-VC_RS08535	False	
gene-VC_RS10635	1135	1033	1223	1272	1394	1159	1033	1463	1504	host	flgB	False	
gene-VPVV882_gp47	358	485	594	1616	2190	1748	8598	11438	12819	phage	gene-VPVV882_gp47	False	
gene-VC_RS13770	140	133	154	137	188	103	181	290	265	host	gene-VC_RS13770	False	
gene-VC_RS03460	1178	1233	1534	1164	1570	1455	1129	1582	1555	host	ispH	False	
gene-VC_RS02335	1153	1255	1471	831	901	698	676	641	776	host	hemW	False	
gene-VC_RS11895	346	346	432	264	253	282	196	233	243	host	gene-VC_RS11895	False	
gene-VC_RS10335	300	333	361	280	225	190	159	179	202	host	gene-VC_RS10335	False	
gene-VC_RS09990	2581	2709	3147	2485	2872	2695	2613	2822	3234	host	argS	False	
gene-VC_RS15555	306	365	400	286	288	252	417	393	378	host	gene-VC_RS15555	False	
gene-VC_RS17210	190	242	274	205	310	198	340	376	378	host	gene-VC_RS17210	False	
gene-VC_RS00945	313	337	430	282	365	309	330	434	368	host	gene-VC_RS00945	False	
gene-VC_RS05570	883	1006	866	496	562	487	398	398	425	host	hisH	False	
gene-VC_RS06250	251	444	203	240	382	91	135	113	154	host	gene-VC_RS06250	False	
gene-VC_RS09215	981	975	1301	949	1024	902	970	1188	1297	host	pyrF	False	
gene-VC_RS03040	363	518	464	415	532	407	430	705	665	host	gene-VC_RS03040	False	
gene-VC_RS14900	856	648	772	819	1118	761	637	1191	1075	host	gene-VC_RS14900	False	
gene-VC_RS15335	192	224	230	157	167	188	351	346	400	host	gene-VC_RS15335	False	
gene-VC_RS16155	1080	1174	1433	791	926	789	643	812	792	host	gene-VC_RS16155	False	
gene-VC_RS06975	1160	1230	1271	672	694	594	269	459	354	host	ccoO	False	
gene-VC_RS09705	600	797	687	581	558	395	511	585	670	host	tmk	False	
gene-VC_RS17345	679	734	829	763	1010	792	756	811	1027	host	gene-VC_RS17345	False	
gene-VC_RS12800	304	276	382	167	234	188	154	196	184	host	gene-VC_RS12800	False	
gene-VC_RS16015	681	663	792	637	716	617	634	798	818	host	gene-VC_RS16015	False	
gene-VC_RS09860	750	737	956	616	719	584	802	855	937	host	gene-VC_RS09860	False	
gene-VC_RS12940	797	930	1082	1164	1396	1400	1778	1801	1910	host	glpX	False	
gene-VC_RS03500	1080	1338	1244	776	932	652	811	706	758	host	gene-VC_RS03500	False	
gene-VC_RS10965	1110	1542	1235	866	1156	804	690	820	837	host	gene-VC_RS10965	False	
gene-VC_RS08940	1298	1251	1523	1092	1249	1024	780	1062	1055	host	gene-VC_RS08940	False	
gene-VC_RS05725	740	910	958	756	846	695	2113	1855	2054	host	gene-VC_RS05725	False	
gene-VC_RS17780	176	168	234	232	231	351	268	292	351	host	gene-VC_RS17780	False	
gene-VC_RS09305	101	108	107	85	116	112	146	198	169	host	dctP	False	
gene-VC_RS11485	1241	1400	2015	1197	1470	1335	992	1274	1310	host	gene-VC_RS11485	False	
gene-VC_RS05370	836	1005	1143	498	516	490	455	422	429	host	gene-VC_RS05370	False	
gene-VC_RS13870	163	127	133	141	202	127	134	220	192	host	gene-VC_RS13870	False	
gene-VC_RS04420	1490	1730	1830	1556	1874	1475	1595	1644	1714	host	pomA	False	
gene-VC_RS18120	67	78	73	59	61	57	89	98	112	host	gene-VC_RS18120	False	
gene-VC_RS14245	333	381	412	246	214	210	161	176	192	host	gene-VC_RS14245	False	
gene-VC_RS11860	1204	1353	1651	1762	1520	1538	1531	1663	1689	host	lepB	False	
gene-VC_RS02780	957	1030	1055	616	1276	1700	198	396	317	host	gene-VC_RS02780	False	
gene-VC_RS09485	247	282	314	156	197	170	171	198	167	host	menE	False	
gene-VC_RS11450	578	659	843	479	595	430	274	323	270	host	gene-VC_RS11450	False	
gene-VC_RS16740	189	227	259	135	186	154	218	278	273	host	gene-VC_RS16740	False	
gene-VC_RS13695	116	130	157	133	199	157	214	268	270	host	gene-VC_RS13695	False	
gene-VC_RS02415	231	270	347	302	431	305	848	1218	1290	host	gene-VC_RS02415	False	
gene-VC_RS05005	1957	2121	2652	1392	2082	1779	1383	1808	1836	host	rsxC	False	
gene-VC_RS06060	197	196	224	128	224	194	144	242	177	host	cobU	False	
gene-VC_RS19135	502	530	500	410	458	408	326	355	464	host	gene-VC_RS19135	False	
gene-VC_RS13350	150	162	219	152	205	182	174	238	263	host	punR	False	
gene-VC_RS06030	290	358	384	211	266	233	230	294	283	host	gene-VC_RS06030	False	
gene-VC_RS00145	95	106	147	92	135	119	77	97	118	host	gene-VC_RS00145	False	
gene-VC_RS07780	845	801	1032	747	845	704	640	752	814	host	gene-VC_RS07780	False	
gene-VC_RS07965	87	111	122	92	127	102	123	158	166	host	gene-VC_RS07965	False	
gene-VC_RS12990	951	1379	1471	713	1029	866	634	801	710	host	aspA	False	
gene-VC_RS14115	169	198	223	171	166	179	236	277	281	host	gene-VC_RS14115	False	
gene-VC_RS01830	1010	940	872	948	1281	782	355	677	625	host	gene-VC_RS01830	False	
gene-VC_RS12870	1860	1702	2233	1752	1732	1479	1618	1692	1825	host	rraA	False	
gene-VC_RS19130	63	56	104	59	96	56	60	72	84	host	gene-VC_RS19130	False	
gene-VC_RS16390	286	288	321	181	186	154	197	256	256	host	gene-VC_RS16390	False	
gene-VC_RS10750	708	814	915	680	668	524	582	698	739	host	gene-VC_RS10750	False	
gene-VC_RS08585	236	245	370	210	298	254	214	261	285	host	siaQ	False	
gene-VC_RS17880	1018	1035	983	643	971	779	679	875	832	host	gene-VC_RS17880	False	
gene-VC_RS17825	1272	1666	2034	1347	1532	1235	1614	1689	1673	host	malK	False	
gene-VC_RS08070	228	309	354	206	340	253	282	316	365	host	gene-VC_RS08070	False	
gene-VC_RS02380	869	1092	1336	842	746	689	812	734	807	host	gene-VC_RS02380	False	
gene-VPVV882_gp26	389	358	523	3148	4048	3527	11855	12613	13489	phage	gene-VPVV882_gp26	False	
gene-VC_RS00060	2308	2282	2794	1753	2396	2288	1246	1663	1624	host	recF	False	
gene-VC_RS08385	247	284	384	178	292	211	249	304	292	host	gene-VC_RS08385	False	
gene-VC_RS11910	508	580	732	438	469	397	374	287	414	host	gene-VC_RS11910	False	
gene-VC_RS13700	60	56	77	84	96	58	110	167	153	host	gene-VC_RS13700	False	
gene-VC_RS17585	1708	1960	1834	1259	1026	989	903	700	851	host	gene-VC_RS17585	False	
gene-VC_RS05835	210	234	258	229	210	233	252	346	365	host	gene-VC_RS05835	False	
gene-VC_RS07870	1406	1500	1601	1308	1214	986	884	662	796	host	gene-VC_RS07870	False	
gene-VC_RS08665	54	48	72	75	60	47	89	98	98	host	gene-VC_RS08665	False	
gene-VC_RS02010	1157	1019	1344	1170	1816	1393	866	1281	1399	host	gene-VC_RS02010	False	
gene-VC_RS18795	1052	1218	1451	1432	1757	1584	988	1182	1102	host	gene-VC_RS18795	False	
gene-VC_RS07490	1453	1629	1531	2365	2618	2212	1775	2118	2117	host	gene-VC_RS07490	False	
gene-VC_RS08580	232	229	346	256	318	256	396	494	506	host	siaM	False	
gene-VC_RS08760	98	118	134	81	163	134	212	252	265	host	gene-VC_RS08760	False	
gene-VC_RS17735	876	1031	1280	812	1124	970	1181	1332	1326	host	gene-VC_RS17735	False	
gene-VC_RS03610	846	787	1054	809	1148	769	1127	1695	1712	host	nfsA	False	
gene-VC_RS14865	516	686	785	536	730	626	701	752	863	host	gene-VC_RS14865	False	
gene-VC_RS01665	414	410	587	245	268	197	202	217	185	host	gene-VC_RS01665	False	
gene-VC_RS05660	2250	2701	3300	2530	2439	2037	2366	2185	2351	host	gene-VC_RS05660	False	
gene-VC_RS08770	48	39	55	58	100	55	96	194	153	host	gene-VC_RS08770	False	
gene-VC_RS16860	68	79	65	70	60	66	93	94	77	host	gene-VC_RS16860	False	
gene-VC_RS17240	319	328	397	276	337	273	325	465	424	host	gene-VC_RS17240	False	
gene-VC_RS15720	398	401	569	406	571	407	812	1199	1276	host	gene-VC_RS15720	False	
gene-VC_RS04945	293	324	354	236	352	252	277	338	417	host	gene-VC_RS04945	False	
gene-VC_RS15815	518	481	624	543	696	540	737	1154	1172	host	gene-VC_RS15815	False	
gene-VC_RS07625	127	85	125	106	80	72	49	62	60	host	almF	False	
gene-VC_RS16555	391	400	571	413	564	486	654	719	702	host	gene-VC_RS16555	False	
gene-VC_RS09165	1033	1098	1452	1244	1779	1633	1029	1214	1334	host	fadR	False	
gene-VC_RS02680	212	220	289	172	201	196	155	241	273	host	ftsB	False	
gene-VC_RS06620	1661	1998	2243	1567	1975	1952	1861	2218	2451	host	gene-VC_RS06620	False	
gene-VC_RS07150	556	581	749	616	800	780	1113	1372	1482	host	gene-VC_RS07150	False	
gene-VC_RS09915	1481	1649	1923	1735	961	787	610	658	701	host	flrD	False	
gene-VC_RS09400	157	150	206	159	228	167	239	285	283	host	gene-VC_RS09400	False	
gene-VC_RS13570	332	375	409	315	318	214	243	324	260	host	gene-VC_RS13570	False	
gene-VC_RS02270	1663	1222	2311	916	1708	2184	563	1287	1028	host	gene-VC_RS02270	False	
gene-VC_RS15125	261	280	411	297	304	274	399	372	428	host	gene-VC_RS15125	False	
gene-VC_RS12315	489	527	632	367	453	350	381	577	549	host	gene-VC_RS12315	False	
gene-VC_RS04125	152	177	227	217	261	176	303	469	415	host	tcpB	False	
gene-VC_RS10355	609	633	753	403	503	394	312	444	405	host	gene-VC_RS10355	False	
gene-VC_RS05580	1049	1134	1155	582	651	539	239	296	311	host	hisF	False	
gene-VC_RS17580	480	500	663	408	402	316	559	500	605	host	gene-VC_RS17580	False	
gene-VC_RS10385	1552	1585	1951	1579	1972	1533	1360	1840	1718	host	mlp24	False	
gene-VC_RS11475	375	338	437	293	304	246	296	363	382	host	gene-VC_RS11475	False	
gene-VC_RS04725	1213	1334	1464	802	857	705	703	903	876	host	holA	False	
gene-VC_RS07340	175	159	116	63	91	62	44	79	68	host	gene-VC_RS07340	False	
gene-VC_RS02590	16	4	17	15	23	799	40	57	66	host	gene-VC_RS02590	False	
gene-VC_RS01915	228	220	321	173	177	180	133	113	132	host	gene-VC_RS01915	False	
gene-VC_RS05435	462	503	566	474	529	426	578	600	574	host	lolA	False	
gene-VC_RS00205	702	853	967	661	908	917	720	855	914	host	fmt	False	
gene-VC_RS17000	285	183	308	274	316	444	119	189	168	host	gene-VC_RS17000	False	
gene-VC_RS06865	90	78	151	89	75	89	93	98	120	host	tsiV1	False	
gene-VPVV882_gp42	208	152	283	3748	5694	5792	12274	16611	19864	phage	gene-VPVV882_gp42	False	
gene-VC_RS01495	218	212	266	200	157	154	186	187	205	host	gene-VC_RS01495	False	
gene-VC_RS02530	70	73	80	52	89	66	79	93	87	host	gene-VC_RS02530	False	
gene-VPVV882_gp53	492	575	635	1865	2867	2788	13370	25347	23338	phage	gene-VPVV882_gp53	False	
gene-VC_RS14985	357	372	486	348	369	237	393	418	447	host	gene-VC_RS14985	False	
gene-VC_RS05305	282	472	537	2100	326	234	153	141	183	host	gene-VC_RS05305	False	
gene-VC_RS10460	981	1071	1160	778	1022	757	844	1066	1032	host	prfA	False	
gene-VC_RS10985	1522	1602	1867	1325	1461	1173	1189	1349	1302	host	proB	False	
gene-VC_RS06715	722	824	808	593	690	511	627	763	746	host	yegD	False	
gene-VC_RS11075	2477	2674	2850	1575	2010	1550	675	867	882	host	gene-VC_RS11075	False	
gene-VC_RS16710	474	551	716	319	428	317	188	261	264	host	glgC	False	
gene-VC_RS11775	417	460	549	376	435	350	438	418	461	host	gene-VC_RS11775	False	
gene-VC_RS14195	874	986	964	1515	1982	1569	1685	1573	1692	host	gene-VC_RS14195	False	
gene-VC_RS10445	1305	1349	1696	1173	1322	1200	1210	1227	1341	host	gene-VC_RS10445	False	
gene-VC_RS18070	115	142	159	115	160	156	208	250	308	host	gene-VC_RS18070	False	
gene-VC_RS05430	412	436	460	449	395	342	595	453	571	host	gene-VC_RS05430	False	
gene-VC_RS15345	386	548	772	384	577	557	429	567	594	host	gene-VC_RS15345	False	
gene-VC_RS09805	354	396	431	348	464	363	534	590	581	host	gene-VC_RS09805	False	
gene-VC_RS09415	713	797	915	694	1135	905	566	824	852	host	gene-VC_RS09415	False	
gene-VC_RS14695	137	208	223	132	196	176	235	171	207	host	gene-VC_RS14695	False	
gene-VC_RS01875	206	200	301	224	244	214	275	343	405	host	gene-VC_RS01875	False	
gene-VC_RS13605	265	318	451	290	404	339	401	586	550	host	gltS	False	
gene-VC_RS03485	315	328	381	326	436	382	405	467	489	host	gene-VC_RS03485	False	
gene-VC_RS15240	334	305	364	290	387	364	314	416	390	host	gene-VC_RS15240	False	
gene-VC_RS13195	1053	1101	1190	905	1160	1076	720	1045	919	host	gene-VC_RS13195	False	
gene-VC_RS14265	386	443	500	372	475	381	545	760	714	host	gene-VC_RS14265	False	
gene-VC_RS05875	1207	1398	1698	1014	1337	971	831	1081	999	host	vesB	False	
gene-VC_RS17175	1630	1844	2314	1307	1737	1446	1135	1393	1369	host	gene-VC_RS17175	False	
gene-VC_RS05465	537	689	743	345	425	389	236	288	307	host	bioC	False	
gene-VC_RS06990	1202	1386	1492	919	1040	861	758	1121	1094	host	gene-VC_RS06990	False	
gene-VC_RS07765	706	726	854	482	587	512	519	487	561	host	gene-VC_RS07765	False	
gene-VC_RS16310	591	579	661	582	648	701	674	818	889	host	yjjG	False	
gene-VC_RS02245	1705	1773	2361	1213	1483	1188	822	973	1063	host	surA	False	
gene-VC_RS18170	110	98	160	80	104	96	36	79	72	host	gene-VC_RS18170	False	
gene-VC_RS05620	1134	1109	1480	1204	1477	942	844	1196	1160	host	gene-VC_RS05620	False	
gene-VC_RS01140	1598	1581	1933	908	930	888	485	582	532	host	waaA	False	
gene-VC_RS08255	1123	1308	1431	616	737	604	547	693	690	host	metR	False	
gene-VC_RS06405	226	269	273	190	171	148	240	253	292	host	gene-VC_RS06405	False	
gene-VC_RS13860	1443	1723	1992	1577	1838	1612	1415	1775	1815	host	gene-VC_RS13860	False	
gene-VC_RS13915	234	259	289	191	212	157	132	127	164	host	tssK	False	
gene-VC_RS01215	2896	3051	3788	2491	2324	2224	1183	1255	1343	host	gene-VC_RS01215	False	
gene-VC_RS05050	110	108	121	106	194	135	134	253	215	host	moaB	False	
gene-VC_RS05215	121	103	152	116	186	147	239	340	320	host	gene-VC_RS05215	False	
gene-VC_RS14350	440	540	641	374	529	374	511	583	637	host	gene-VC_RS14350	False	
gene-VC_RS10850	91	100	111	87	154	102	109	153	151	host	rnhB	False	
gene-VC_RS10830	167	139	153	217	197	246	125	293	200	host	gene-VC_RS10830	False	
gene-VC_RS14305	314	278	455	191	211	186	64	109	92	host	gene-VC_RS14305	False	
gene-VC_RS03150	1324	1310	1550	1101	1366	1183	1217	1445	1502	host	rsmC	False	
gene-VC_RS09530	960	1075	1182	859	1108	912	938	1053	1094	host	gene-VC_RS09530	False	
gene-VC_RS18150	44	27	69	36	60	25	91	118	102	host	gene-VC_RS18150	False	
gene-VC_RS12970	580	971	831	1347	1316	894	1293	1038	1165	host	gene-VC_RS12970	False	
gene-VC_RS13930	347	416	398	247	222	174	125	122	123	host	vasH	False	
gene-VC_RS12890	1396	1371	1588	1178	1121	987	1144	1146	1238	host	gene-VC_RS12890	False	
gene-VC_RS02625	136	122	154	128	140	94	218	127	166	host	gene-VC_RS02625	False	
gene-VC_RS08520	1666	1667	1952	1122	1209	1044	967	1042	1235	host	gene-VC_RS08520	False	
gene-VC_RS13010	880	884	962	791	1114	653	477	556	543	host	gene-VC_RS13010	False	
gene-VC_RS01000	200	204	231	111	150	88	96	128	130	host	gene-VC_RS01000	False	
gene-VC_RS02015	2106	2232	2962	2142	2594	2362	1640	2273	2309	host	csrD	False	
gene-VC_RS17935	1044	1089	1264	874	1034	816	864	1049	922	host	gene-VC_RS17935	False	
gene-VC_RS18240	1220	1256	1723	820	698	732	439	430	465	host	gene-VC_RS18240	False	
gene-VC_RS03240	998	933	1487	859	1247	1691	324	435	319	host	gene-VC_RS03240	False	
gene-VC_RS05600	554	583	645	529	664	559	217	406	317	host	cspD	False	
gene-VC_RS07775	272	331	344	276	396	313	131	206	155	host	gene-VC_RS07775	False	
gene-VC_RS16650	256	244	286	202	184	117	207	204	221	host	gene-VC_RS16650	False	
gene-VC_RS04540	219	223	270	149	189	179	114	170	155	host	vexG	False	
gene-VC_RS08780	84	110	121	97	117	92	133	173	197	host	gene-VC_RS08780	False	
gene-VC_RS09175	1079	1399	1556	1000	951	761	1042	921	1013	host	dsbB	False	
gene-VC_RS01905	96	75	126	157	207	122	153	211	193	host	pspG	False	
gene-VC_RS14210	61	48	64	46	87	61	79	121	104	host	pepT	False	
gene-VC_RS09435	639	795	801	589	675	493	618	825	795	host	minE	False	
gene-VC_RS07645	192	187	233	118	181	186	190	263	243	host	gene-VC_RS07645	False	
gene-VPVV882_gp51	270	215	333	537	1219	1188	2559	4458	5042	phage	gene-VPVV882_gp51	False	
gene-VC_RS10525	1351	1409	1404	919	1313	1731	283	966	845	host	gene-VC_RS10525	False	
gene-VC_RS18360	481	537	572	272	284	243	155	212	194	host	speF	False	
gene-VC_RS09090	973	962	1135	888	993	791	905	1148	1013	host	lolC	False	
gene-VC_RS13825	463	494	641	634	774	687	1188	1423	1555	host	gene-VC_RS13825	False	
gene-VC_RS07985	230	212	247	141	242	202	267	395	388	host	gene-VC_RS07985	False	
gene-VC_RS12180	1224	1325	1486	921	945	794	812	900	931	host	kdsC	False	
gene-VC_RS05055	210	242	227	159	123	145	264	221	201	host	moaC	False	
gene-VC_RS17875	230	232	285	202	250	190	187	240	266	host	gene-VC_RS17875	False	
gene-VC_RS15035	512	526	663	505	656	543	734	996	1089	host	gene-VC_RS15035	False	
gene-VC_RS17110	1389	1645	1920	1427	1671	1364	1742	2207	2290	host	gene-VC_RS17110	False	
gene-VC_RS06350	824	948	1134	707	1176	867	1035	1291	1353	host	pabB	False	
gene-VC_RS09575	955	1252	1429	780	981	754	835	976	956	host	gene-VC_RS09575	False	
gene-VC_RS05405	1568	1670	2040	1244	1492	1238	1155	1342	1504	host	gene-VC_RS05405	False	
gene-VC_RS00170	529	633	800	503	630	448	549	497	592	host	gene-VC_RS00170	False	
gene-VC_RS06240	234	291	370	248	326	242	433	473	536	host	gene-VC_RS06240	False	
gene-VC_RS12985	208	202	252	139	173	149	164	194	192	host	gene-VC_RS12985	False	
gene-VC_RS00075	3114	2591	3176	2724	2651	1790	420	587	572	host	gene-VC_RS00075	False	
gene-VC_RS04505	316	383	494	330	416	379	699	561	750	host	treB	False	
gene-VC_RS16730	236	254	301	209	305	258	436	486	524	host	gene-VC_RS16730	False	
gene-VC_RS01530	637	601	864	501	954	780	514	967	765	host	gene-VC_RS01530	False	
gene-VC_RS10140	1363	1495	1641	1408	1761	1382	1516	2008	2042	host	gene-VC_RS10140	False	
gene-VC_RS07790	490	427	694	352	353	286	287	337	331	host	gene-VC_RS07790	False	
