Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	is_outlier	outlier_info
gene-PA1957	6	6	3	9	4	4	0	1	host	gene-PA1957	False	
gene-PA5133	130	157	56	115	20	24	18	3	host	gene-PA5133	False	
gene-PA4478	138	170	60	133	15	25	14	7	host	gene-PA4478	False	
gene-PA1169	13	24	53	85	9	10	3	3	host	gene-PA1169	False	
gene-PA0829	15	14	8	14	2	7	3	0	host	gene-PA0829	False	
gene-PA4659	22	18	12	18	3	1	5	2	host	gene-PA4659	False	
gene-PA4037	11	4	5	5	0	2	1	0	host	gene-PA4037	False	
gene-PA1112a	84	94	48	72	16	16	9	2	host	gene-PA1112a	False	
gene-PA0170	26	66	13	44	1	1	1	2	host	gene-PA0170	False	
gene-PA5219	66	49	30	42	9	13	4	0	host	gene-PA5219	False	
gene-PA1347	8	11	0	3	0	0	0	0	host	gene-PA1347	False	
gene-PA0583	44	57	39	65	16	21	11	4	host	gene-PA0583	False	
gene-PA4042	36	21	13	18	2	7	6	2	host	xseB	False	
gene-PA2295	4	1	1	2	0	0	0	0	host	gene-PA2295	False	
gene-PA0733	17	11	15	12	3	4	1	3	host	gene-PA0733	False	
gene-PA2856	272	171	52	66	16	14	14	5	host	tesA	False	
gene-PA5349	208	207	72	127	18	25	16	9	host	gene-PA5349	False	
gene-PA0528	10	6	14	28	4	3	1	0	host	gene-PA0528	False	
gene-PA0952	162	124	72	127	21	11	2	5	host	gene-PA0952	False	
gene-PA1863	17	22	17	17	4	4	5	2	host	modA	False	
gene-PA0383	55	52	44	73	15	14	10	4	host	gene-PA0383	False	
gene-PA2367	55	52	28	27	5	7	3	3	host	gene-PA2367	False	
gene-PA3418	19	21	21	36	7	7	1	4	host	ldh	False	
gene-PA1972	10	10	5	7	0	3	1	1	host	gene-PA1972	False	
gene-PA1779	27	30	10	25	6	9	8	3	host	gene-PA1779	False	
gene-PA2173a	3	3	2	3	0	0	1	0	host	gene-PA2173a	False	
gene-PA4871	18	10	5	8	0	2	1	0	host	gene-PA4871	False	
gene-PA5056	61	71	19	43	5	11	3	3	host	phaC1	False	
gene-PA1641	15	15	4	4	1	1	2	1	host	gene-PA1641	False	
gene-PA2203	7	4	21	40	1	3	2	1	host	gene-PA2203	False	
gene-PA0472	193	191	5	10	3	3	1	1	host	gene-PA0472	False	
gene-PA4617	41	30	40	60	6	13	4	0	host	gene-PA4617	False	
gene-PA1755	36	34	23	18	2	2	3	4	host	gene-PA1755	False	
gene-PA2696	13	35	3	10	0	1	0	2	host	gene-PA2696	False	
gene-PA5476	27	20	16	14	4	3	4	1	host	citA	False	
gene-PA1447	86	73	46	66	14	8	5	4	host	fliQ	False	
gene-PA3524	38	71	58	75	29	25	23	21	host	gloA1	False	
gene-PA0283	23	12	8	17	3	2	5	1	host	sbp	False	
gene-PA1637	30	36	12	21	4	4	3	0	host	kdpE	False	
gene-PA4861	8	8	3	7	0	1	1	1	host	gene-PA4861	False	
gene-PA3395	6	3	6	20	5	6	6	4	host	nosY	False	
gene-PA4842	340	291	150	178	45	45	26	24	host	gene-PA4842	False	
gene-PA4444	74	86	48	72	12	14	12	6	host	mltB1	False	
gene-PA2169	0	4	4	0	0	1	1	0	host	gene-PA2169	False	
gene-PA4482	39	21	31	44	7	14	4	4	host	gatC	False	
gene-PA4778	38	38	14	25	6	16	7	4	host	cueR	False	
gene-PA2526	57	66	44	61	12	13	9	7	host	gene-PA2526	False	
gene-PA2663	0	3	0	1	0	0	0	0	host	ppyR	False	
gene-PA2383	98	135	83	111	13	19	4	5	host	gene-PA2383	False	
gene-PA5186	30	21	14	22	2	2	1	3	host	gene-PA5186	False	
gene-PA0016	103	155	151	227	33	45	25	23	host	trkA	False	
gene-PA0577	167	194	185	276	58	67	29	26	host	dnaG	False	
gene-PA1605	38	21	14	14	6	3	2	1	host	gene-PA1605	False	
gene-PA1507	82	61	38	67	5	3	1	5	host	gene-PA1507	False	
gene-PA3317	46	51	27	24	11	13	10	3	host	gene-PA3317	False	
gene-PA2232	70	59	62	92	20	16	7	3	host	pslB	False	
gene-PA3490	12	6	9	7	1	3	1	0	host	gene-PA3490	False	
gene-PA0676	43	19	10	17	8	6	0	0	host	vreR	False	
gene-PA1279	15	9	5	11	2	2	3	1	host	cobU	False	
gene-PA1980	3	2	3	3	0	1	1	1	host	eraR	False	
gene-PA0478	22	16	7	4	0	1	1	0	host	gene-PA0478	False	
gene-PA3335	11	86	1	103	2	20	5	2	host	gene-PA3335	False	
gene-PA0553	104	86	49	57	12	20	13	2	host	gene-PA0553	False	
gene-PA4728	25	21	17	25	2	6	2	6	host	folK	False	
gene-PA2655	58	41	28	46	7	8	4	2	host	gene-PA2655	False	
gene-PA2923	4	5	0	2	0	0	0	0	host	hisJ	False	
gene-PA4072	25	13	11	9	2	4	2	0	host	gene-PA4072	False	
gene-PA0535	36	32	16	27	1	6	6	3	host	gene-PA0535	False	
gene-PA1663	15	14	5	18	2	8	17	2	host	gene-PA1663	False	
gene-PA3921	253	146	81	131	14	14	4	4	host	gene-PA3921	False	
gene-PA0446	153	103	64	95	19	26	27	7	host	gene-PA0446	False	
gene-PA1206	22	24	28	33	9	18	8	5	host	gene-PA1206	False	
gene-PA2838	7	8	4	6	3	0	0	1	host	gene-PA2838	False	
gene-PA1895	21	23	9	25	2	5	2	3	host	gene-PA1895	False	
gene-PA4876	39	36	25	27	8	5	3	3	host	osmE	False	
gene-PA2986	123	146	140	198	29	30	19	20	host	gene-PA2986	False	
gene-PA4029	27	38	10	26	3	8	6	0	host	gene-PA4029	False	
gene-PA1833a	203	161	77	127	16	23	6	7	host	gene-PA1833a	False	
gene-PA5472	82	101	35	69	15	19	14	8	host	gene-PA5472	False	
gene-PA4949	107	105	59	79	7	13	8	9	host	gene-PA4949	False	
gene-PA1646	51	42	19	21	7	9	6	4	host	gene-PA1646	False	
gene-PA3764	91	126	96	138	16	22	15	12	host	gene-PA3764	False	
gene-PA3342	125	101	40	69	9	7	3	0	host	gene-PA3342	False	
gene-PA3012	41	58	40	75	6	12	7	4	host	gene-PA3012	False	
gene-PA5200	191	157	60	62	16	16	9	10	host	amgR	False	
gene-PA0119	22	23	2	12	5	1	1	1	host	gene-PA0119	False	
gene-PA3715	42	35	44	67	18	16	10	1	host	gene-PA3715	False	
gene-PA3313	54	77	37	40	16	26	14	6	host	gene-PA3313	False	
gene-PA4174	27	12	5	11	1	0	0	0	host	gene-PA4174	False	
gene-PA1681	135	124	101	112	33	26	22	14	host	aroC	False	
gene-PA3877	3	9	5	3	1	2	0	2	host	narK1	False	
gene-PA1535	67	79	52	104	5	9	1	3	host	gene-PA1535	False	
gene-PA2435	122	65	60	88	16	10	5	9	host	gene-PA2435	False	
gene-PA4503	49	34	21	32	9	5	3	2	host	gene-PA4503	False	
gene-PA5386	4	8	7	1	2	5	4	2	host	cdhA	False	
gene-PA3062	5	2	1	5	0	0	0	0	host	pelC	False	
gene-PA1596	225	231	83	96	24	28	28	26	host	htpG	False	
gene-PA4184	87	46	19	38	5	3	9	3	host	gene-PA4184	False	
gene-PA5438	120	121	72	153	28	22	14	13	host	gene-PA5438	False	
gene-PA2478	24	22	26	29	8	4	4	0	host	gene-PA2478	False	
gene-PA4737	105	81	82	107	21	18	5	7	host	gene-PA4737	False	
gene-PA1820	174	227	148	283	13	36	16	7	host	nhaB	False	
gene-PA2355	6	7	3	6	0	0	1	0	host	gene-PA2355	False	
gene-PA0853	23	15	12	8	3	7	1	3	host	gene-PA0853	False	
gene-PA4107	4	5	5	2	1	0	1	1	host	gene-PA4107	False	
gene-PA4068	198	192	120	155	17	21	12	9	host	gene-PA4068	False	
gene-PA2332	34	22	9	20	4	2	2	1	host	gene-PA2332	False	
gene-PA4200	33	28	20	34	1	4	1	2	host	gene-PA4200	False	
gene-PA2530	51	51	53	47	5	8	5	6	host	gene-PA2530	False	
gene-PA5218	39	33	18	28	3	4	5	1	host	gene-PA5218	False	
gene-PA1321	27	21	10	17	0	8	8	5	host	cyoE	False	
gene-PA4637a	16	22	17	25	5	13	4	3	host	gene-PA4637a	False	
gene-PA1350	10	14	8	7	3	1	0	0	host	gene-PA1350	False	
gene-PA5202	26	35	19	26	7	11	7	2	host	gene-PA5202	False	
gene-PA0494	30	14	11	6	1	6	1	1	host	gene-PA0494	False	
gene-PA0984	53	62	8	34	4	5	3	2	host	gene-PA0984	False	
gene-PA4115	69	55	44	58	7	4	3	5	host	gene-PA4115	False	
gene-PA4577	6	17	1	3	0	1	1	0	host	gene-PA4577	False	
gene-PA0764	230	171	203	290	55	34	21	19	host	mucB	False	
gene-PA5009	67	93	79	118	21	25	11	16	host	waaP	False	
gene-PA4766	84	71	39	75	8	14	10	5	host	gene-PA4766	False	
gene-PA2745	56	49	34	74	14	18	8	1	host	gene-PA2745	False	
gene-PA2831	49	29	31	40	6	8	7	3	host	gene-PA2831	False	
gene-PA2763	11	11	10	17	1	3	2	0	host	gene-PA2763	False	
gene-PA2338	9	15	12	17	3	5	3	3	host	gene-PA2338	False	
gene-PA0231	20	11	8	9	0	1	0	0	host	pcaD	False	
gene-PA0398	129	131	48	49	8	12	9	2	host	gene-PA0398	False	
gene-PA4540	23	14	12	11	2	3	3	3	host	gene-PA4540	False	
gene-PA2607	30	13	21	12	2	2	2	5	host	gene-PA2607	False	
gene-PA0513	2	0	1	0	0	1	0	0	host	gene-PA0513	False	
gene-PA4332	85	70	31	50	11	20	3	5	host	gene-PA4332	False	
gene-PA1224	18	15	1	6	0	0	4	0	host	gene-PA1224	False	
gene-PA2700	12	11	8	2	2	5	0	2	host	opdB	False	
gene-PA0828	33	17	7	22	6	0	9	3	host	gene-PA0828	False	
gene-PA0064	50	46	24	45	6	11	5	5	host	gene-PA0064	False	
gene-PA5456	75	51	73	72	9	10	4	7	host	gene-PA5456	False	
gene-PA3546	3	6	3	1	0	0	2	1	host	algX	False	
gene-PA1742	61	62	64	69	13	12	9	0	host	gene-PA1742	False	
gene-PA5259	205	145	102	170	17	22	13	7	host	hemD	False	
gene-PA4522	57	65	33	64	7	9	3	4	host	ampD	False	
gene-PA3731	221	297	80	121	26	29	21	14	host	gene-PA3731	False	
gene-PA4108	76	53	14	27	8	8	1	4	host	gene-PA4108	False	
gene-PA5245	80	67	72	67	17	10	6	9	host	gene-PA5245	False	
gene-PA0103	20	13	8	22	8	11	10	3	host	gene-PA0103	False	
gene-PA3469	54	53	51	70	10	8	5	2	host	gene-PA3469	False	
gene-PA1333	26	34	20	27	1	4	0	1	host	gene-PA1333	False	
gene-PA4816	14	25	14	14	1	4	2	1	host	gene-PA4816	False	
gene-PA1026	36	17	10	15	9	5	6	1	host	gene-PA1026	False	
gene-PA0683	5	112	2	2	1	3	0	1	host	gene-PA0683	False	
gene-PA0233	22	8	5	15	1	1	2	0	host	gene-PA0233	False	
gene-PA0088	58	85	46	125	9	25	25	3	host	gene-PA0088	False	
gene-PA0228	24	12	3	9	2	3	2	0	host	pcaF	False	
gene-PA2408	217	162	134	184	23	19	3	5	host	gene-PA2408	False	
gene-PA2484	53	50	40	29	9	13	8	10	host	gene-PA2484	False	
gene-PA2870	49	40	45	49	9	7	4	6	host	gene-PA2870	False	
gene-PA2682	34	27	24	51	3	7	4	3	host	gene-PA2682	False	
gene-PA5317	58	54	38	50	15	13	8	11	host	gene-PA5317	False	
gene-PA4169	30	22	9	21	3	4	2	1	host	gene-PA4169	False	
gene-PA4320	175	175	143	258	45	43	12	19	host	gene-PA4320	False	
gene-PA0009	48	99	159	195	46	43	34	20	host	glyQ	False	
gene-PA5498	50	44	23	29	6	3	3	5	host	gene-PA5498	False	
gene-PA3238	64	59	39	47	3	7	3	4	host	gene-PA3238	False	
gene-PA2226	7	30	11	16	0	3	2	0	host	gene-PA2226	False	
gene-PA2591	70	232	16	79	5	13	8	5	host	gene-PA2591	False	
gene-PA2331	3	9	3	1	3	1	0	0	host	gene-PA2331	False	
gene-PA0694	6	3	1	2	0	0	0	1	host	exbD2	False	
gene-PA4919	56	77	28	51	6	15	11	4	host	pncB1	False	
gene-PA3438	198	168	93	132	22	10	8	9	host	folE1	False	
gene-PA0151	37	35	16	22	5	4	4	3	host	gene-PA0151	False	
gene-PA1743	3	3	2	2	0	1	0	0	host	gene-PA1743	False	
gene-PA1295	15	27	14	25	11	1	5	3	host	gene-PA1295	False	
gene-PA3060	12	6	8	4	1	3	2	0	host	pelE	False	
gene-PA4329	264	198	170	215	45	24	12	13	host	pykA	False	
gene-PA2261	5	6	3	3	0	6	0	0	host	gene-PA2261	False	
gene-PA2764	47	49	21	41	5	4	7	4	host	gene-PA2764	False	
gene-PA3888	9	12	3	4	1	2	1	1	host	gene-PA3888	False	
gene-PA0038	114	226	108	128	17	31	7	6	host	gene-PA0038	False	
gene-PA0093	58	57	35	45	17	36	11	11	host	gene-PA0093	False	
gene-PA2926	9	5	3	7	1	6	3	1	host	hisP	False	
gene-PA0262	104	126	69	98	19	24	12	9	host	gene-PA0262	False	
gene-PA4465	230	231	149	239	40	37	20	15	host	gene-PA4465	False	
gene-PA2509	3	0	2	2	0	0	0	1	host	catB	False	
gene-PA4704	158	145	90	132	11	27	15	14	host	cbpA	False	
gene-PA2671	17	23	8	16	2	4	0	5	host	gene-PA2671	False	
gene-PA2271	13	13	1	5	0	0	1	1	host	gene-PA2271	False	
gene-PA3931	8	10	16	25	4	1	1	0	host	gene-PA3931	False	
gene-PA0845	36	22	8	18	8	9	5	1	host	gene-PA0845	False	
gene-PA3242	31	32	42	57	9	15	8	5	host	gene-PA3242	False	
gene-PA2719	9	15	6	12	0	2	1	1	host	gene-PA2719	False	
gene-PA4660	102	73	79	111	30	18	15	5	host	phr	False	
gene-PA2206	38	29	16	23	2	7	4	4	host	gene-PA2206	False	
gene-PA1201	64	60	37	34	6	4	3	4	host	gene-PA1201	False	
gene-PA2660	21	20	7	13	3	9	0	0	host	gene-PA2660	False	
gene-PA4513	274	277	35	56	12	19	8	1	host	gene-PA4513	False	
gene-PA0611	92	74	59	59	20	15	6	7	host	prtR	False	
gene-PA1319	7	6	12	9	2	5	7	3	host	cyoC	False	
gene-PA0868	30	50	91	147	8	11	11	7	host	gene-PA0868	False	
gene-PA2985	18	16	8	23	1	5	4	3	host	gene-PA2985	False	
gene-PA2205	25	21	10	13	3	3	3	3	host	gene-PA2205	False	
gene-PA0068	151	78	41	39	9	9	5	1	host	gene-PA0068	False	
gene-PA2220	22	42	9	16	1	6	1	2	host	gene-PA2220	False	
gene-PA4355	3	6	4	5	0	1	2	0	host	gene-PA4355	False	
gene-PA1357	126	107	26	40	5	10	5	2	host	gene-PA1357	False	
gene-PA0678	2	2	3	0	0	0	2	0	host	gene-PA0678	False	
gene-PA1741	25	35	16	27	8	8	6	7	host	gene-PA1741	False	
gene-PA0391	234	163	61	77	18	11	3	7	host	gene-PA0391	False	
gene-PA1739	7	8	6	8	2	2	2	1	host	gene-PA1739	False	
gene-PA2454	35	15	27	43	6	2	1	2	host	gene-PA2454	False	
gene-PA1809	47	33	38	46	10	12	17	11	host	gene-PA1809	False	
gene-PA4363	39	20	7	13	4	3	2	0	host	iciA	False	
gene-PA1992	111	76	72	62	5	6	1	2	host	ercS	False	
gene-PA4905	11	12	10	11	2	1	1	0	host	vanB	False	
gene-PA4901	7	4	1	8	0	0	0	1	host	mdlC	False	
gene-PA3723	134	81	35	62	13	9	4	4	host	gene-PA3723	False	
gene-PA2541	124	139	124	186	37	41	20	11	host	gene-PA2541	False	
gene-PA3911	8	1	3	6	0	2	0	0	host	gene-PA3911	False	
gene-PA5434	23	31	9	18	5	2	3	1	host	mtr	False	
gene-PA1937	42	31	8	19	4	7	3	1	host	gene-PA1937	False	
gene-PA2588	19	22	7	7	4	5	3	2	host	gene-PA2588	False	
gene-PA1195	13	7	5	11	2	2	2	1	host	gene-PA1195	False	
gene-PA5279	137	116	96	120	19	28	20	7	host	gene-PA5279	False	
gene-PA3719	3	3	4	3	0	3	0	0	host	armR	False	
gene-PA1475	39	35	45	51	10	10	9	10	host	ccmA	False	
gene-PA3235	138	125	73	127	8	3	1	3	host	gene-PA3235	False	
gene-PA5063	47	57	55	56	8	14	12	11	host	ubiE	False	
gene-PA0433	33	38	2	7	1	2	2	4	host	gene-PA0433	False	
gene-PA1573	101	78	64	80	12	13	9	7	host	gene-PA1573	False	
gene-PA5157	9	10	5	8	3	0	3	0	host	gene-PA5157	False	
gene-PA0916	25	21	25	36	19	29	22	14	host	gene-PA0916	False	
gene-PA3382	2	0	0	2	0	0	0	0	host	phnE	False	
gene-PA4693	189	262	214	256	53	53	34	24	host	pssA	False	
gene-PA0232	24	14	11	13	2	2	1	2	host	pcaC	False	
gene-PA0682	11	5	2	6	2	3	5	1	host	gene-PA0682	False	
gene-PA3904	11	10	5	4	1	4	2	1	host	gene-PA3904	False	
gene-PPLUZ19_gp42	0	0	75	85	10	42	7967	5672	phage	gp42	False	
gene-PA2783	14	15	9	14	1	4	2	4	host	gene-PA2783	False	
gene-PA2022	23	21	20	22	5	5	3	0	host	gene-PA2022	False	
gene-PA2849	11	8	1	10	1	0	1	2	host	ohrR	False	
gene-PA1036	135	91	28	53	7	7	3	3	host	gene-PA1036	False	
gene-PA3692	78	59	103	80	31	13	11	11	host	lptF	False	
gene-PA4739	180	96	106	103	19	40	22	10	host	gene-PA4739	False	
gene-PA2474	10	11	13	9	4	3	1	0	host	gene-PA2474	False	
gene-PA5369	60	81	52	91	32	41	21	13	host	pstS	False	
gene-PA3792	233	275	125	195	25	29	17	7	host	leuA	False	
gene-PA2281	25	23	24	33	12	10	5	6	host	gene-PA2281	False	
gene-PA2311	3	3	0	0	0	1	1	0	host	gene-PA2311	False	
gene-PA3306	62	71	21	28	4	7	9	4	host	gene-PA3306	False	
gene-PA1576	175	95	84	114	11	19	11	5	host	gene-PA1576	False	
gene-PA4487	163	175	110	162	21	24	27	17	host	gene-PA4487	False	
gene-PA1791	37	52	47	55	30	39	29	22	host	gene-PA1791	False	
gene-PA2152	27	31	13	16	4	5	5	1	host	gene-PA2152	False	
gene-PA3006	114	132	32	47	11	9	11	16	host	psrA	False	
gene-PA3063	26	24	13	17	3	1	0	1	host	pelB	False	
gene-PA3670	139	136	28	38	7	5	8	2	host	gene-PA3670	False	
gene-PA2137	3	2	3	2	1	0	1	0	host	gene-PA2137	False	
gene-PA5376	81	82	76	75	9	13	12	10	host	gene-PA5376	False	
gene-PA3020	56	80	55	90	17	8	5	7	host	gene-PA3020	False	
gene-PA0471	159	140	8	10	4	3	4	3	host	gene-PA0471	False	
gene-PA0277	18	12	9	19	13	17	10	9	host	gene-PA0277	False	
gene-PA1284	39	29	24	36	7	7	3	2	host	gene-PA1284	False	
gene-PA1291	30	25	13	11	3	3	3	1	host	gene-PA1291	False	
gene-PA3071	32	38	19	29	5	9	5	3	host	gene-PA3071	False	
gene-PA5413	202	191	172	195	35	26	16	19	host	ltaA	False	
gene-PA1312	9	11	7	6	3	3	0	1	host	gene-PA1312	False	
gene-PA4702	15	22	17	21	3	6	2	2	host	gene-PA4702	False	
gene-PA4902	7	7	5	7	1	3	0	1	host	gene-PA4902	False	
gene-PA1216	0	2	2	3	2	2	0	0	host	gene-PA1216	False	
gene-PA4015	41	32	36	33	4	5	4	3	host	gene-PA4015	False	
gene-PA2918	42	37	22	34	9	8	8	2	host	gene-PA2918	False	
gene-PA1631	41	18	11	14	1	1	1	1	host	gene-PA1631	False	
gene-PA4490	15	29	20	39	8	26	8	7	host	gene-PA4490	False	
gene-PA3956	26	21	5	18	1	2	0	0	host	gene-PA3956	False	
gene-PA0527	158	102	30	60	18	23	13	8	host	dnr	False	
gene-PA1437	63	42	22	21	2	7	1	2	host	gene-PA1437	False	
gene-PA2815	101	94	48	67	20	16	5	5	host	gene-PA2815	False	
gene-PA5054	43	45	50	76	17	17	9	14	host	hslU	False	
gene-PA5504	53	58	111	105	15	21	8	10	host	gene-PA5504	False	
gene-PA3362	24	21	14	25	3	8	2	2	host	gene-PA3362	False	
gene-PA5363	285	273	129	228	29	28	24	18	host	gene-PA5363	False	
gene-PA3995	17	9	9	13	1	2	0	0	host	gene-PA3995	False	
gene-PA4955	51	38	17	15	6	2	5	3	host	gene-PA4955	False	
gene-PA1942	4	2	6	5	2	2	1	1	host	gene-PA1942	False	
gene-PA5099	23	13	9	10	2	4	1	4	host	gene-PA5099	False	
gene-PA1807	61	51	97	86	16	11	14	22	host	gene-PA1807	False	
gene-PA2475	36	35	20	24	8	8	5	2	host	gene-PA2475	False	
gene-PA4148	2	9	2	6	1	2	1	1	host	gene-PA4148	False	
gene-PA1105	85	53	50	66	7	12	3	6	host	fliJ	False	
gene-PA1467	39	19	30	32	5	3	0	3	host	gene-PA1467	False	
gene-PA1471	18	7	9	8	3	4	1	1	host	gene-PA1471	False	
gene-PA4509	64	45	25	30	6	8	3	2	host	gene-PA4509	False	
gene-PA1839	16	10	14	30	9	16	7	3	host	gene-PA1839	False	
gene-PA1420	55	15	28	16	3	6	0	1	host	gene-PA1420	False	
gene-PA0534	19	18	14	44	2	3	4	1	host	gene-PA0534	False	
gene-PA2884	77	66	38	37	5	11	8	6	host	gene-PA2884	False	
gene-PA3140	47	22	20	31	9	10	5	4	host	gene-PA3140	False	
gene-PA3890	24	14	7	14	0	4	2	1	host	gene-PA3890	False	
gene-PA2056	18	9	3	6	1	3	2	1	host	gene-PA2056	False	
gene-PA3844	74	61	18	30	2	2	2	1	host	gene-PA3844	False	
gene-PA5236	243	183	146	198	22	12	10	8	host	gene-PA5236	False	
gene-PA2750	24	15	13	22	1	4	4	2	host	gene-PA2750	False	
gene-PA2860	84	96	56	78	26	36	22	16	host	gene-PA2860	False	
gene-PA0031	46	49	12	22	9	5	5	9	host	betC	False	
gene-PA1062	107	70	41	81	12	6	8	7	host	gene-PA1062	False	
gene-PA2230	31	26	23	54	5	6	5	3	host	gene-PA2230	False	
gene-PA1199	210	222	47	66	7	15	10	5	host	gene-PA1199	False	
gene-PA4769	174	183	103	268	25	36	18	15	host	gene-PA4769	False	
gene-PA4515	48	54	24	23	5	8	5	2	host	gene-PA4515	False	
gene-PA4397	12	15	4	9	3	4	3	0	host	panE	False	
gene-PA5080	86	87	25	54	11	20	8	4	host	gene-PA5080	False	
gene-PA2276	9	10	13	18	5	5	5	1	host	gene-PA2276	False	
gene-PA3892	14	19	7	6	0	1	0	0	host	gene-PA3892	False	
gene-PA2324	4	6	6	3	1	1	2	0	host	gene-PA2324	False	
gene-PA5246	48	39	48	62	10	7	3	2	host	gene-PA5246	False	
gene-PA4555	100	83	155	168	49	38	8	11	host	pilY2	False	
gene-PA1282	4	7	7	4	2	1	1	0	host	gene-PA1282	False	
gene-PA1382	152	155	66	137	27	42	28	21	host	gene-PA1382	False	
gene-PA2925	7	1	4	4	0	0	1	1	host	hisM	False	
gene-PA2200	190	168	145	249	26	38	23	13	host	gene-PA2200	False	
gene-PA2720	80	84	47	86	11	11	11	7	host	gene-PA2720	False	
gene-PA0512	1	1	0	1	0	1	0	1	host	gene-PA0512	False	
gene-PA4866	23	25	6	11	3	2	1	3	host	gene-PA4866	False	
gene-PA0910	18	32	22	45	15	12	11	3	host	gene-PA0910	False	
gene-PA5383	17	15	6	8	4	1	5	6	host	gene-PA5383	False	
gene-PA2070	22	19	13	17	4	6	2	2	host	gene-PA2070	False	
gene-PA1258	2	3	5	4	0	1	1	0	host	gene-PA1258	False	
gene-PA3226	73	47	46	58	9	2	7	2	host	gene-PA3226	False	
gene-PA0806	13	7	6	11	1	2	1	0	host	gene-PA0806	False	
gene-PA3665	61	39	33	38	14	8	4	4	host	gene-PA3665	False	
gene-PA0680	5	7	1	4	1	0	1	1	host	gene-PA0680	False	
gene-PA1764	22	22	29	29	2	4	2	2	host	gene-PA1764	False	
gene-PA4913	78	93	68	88	11	13	4	4	host	gene-PA4913	False	
gene-PA1522	65	43	35	40	8	13	3	5	host	gene-PA1522	False	
gene-PA5183	18	17	13	22	6	2	2	2	host	gene-PA5183	False	
gene-PA3468	109	86	69	79	12	10	9	4	host	gene-PA3468	False	
gene-PA1176	10	12	2	6	1	0	1	0	host	napF	False	
gene-PA5495	98	99	71	123	20	20	13	11	host	thrB	False	
gene-PA1756	24	18	14	15	7	4	5	6	host	cysH	False	
gene-PA3948	28	58	35	56	9	6	9	6	host	rocA1	False	
gene-PA0591	38	30	30	35	6	16	5	7	host	gene-PA0591	False	
gene-PA0718	9	15	11	7	5	3	6	8	host	gene-PA0718	False	
gene-PA0800	14	25	3	7	0	5	1	3	host	gene-PA0800	False	
gene-PA2880	2	1	3	1	1	1	0	0	host	gene-PA2880	False	
gene-PA1057	25	31	28	39	6	3	2	2	host	gene-PA1057	False	
gene-PA1293	96	108	65	85	21	20	9	9	host	gene-PA1293	False	
gene-PA3757	8	1	1	3	0	1	1	0	host	gene-PA3757	False	
gene-PA4914	17	9	3	3	2	2	0	2	host	gene-PA4914	False	
gene-PA4596	9	8	18	20	9	3	0	0	host	gene-PA4596	False	
gene-PA0217	39	23	10	20	4	4	3	0	host	gene-PA0217	False	
gene-PA2933	6	3	7	5	1	0	3	0	host	gene-PA2933	False	
gene-PA1547	25	18	8	16	2	2	4	0	host	gene-PA1547	False	
gene-PA0168	108	62	6	17	3	4	4	3	host	gene-PA0168	False	
gene-PA3078	60	55	134	204	20	10	6	6	host	gene-PA3078	False	
gene-PA0702	18	11	11	15	5	3	4	0	host	gene-PA0702	False	
gene-PA4364	4	5	4	1	1	0	0	0	host	gene-PA4364	False	
gene-PA1015	54	55	15	36	7	12	6	3	host	gene-PA1015	False	
gene-PA1738	31	40	8	15	5	9	1	3	host	gene-PA1738	False	
gene-PA0647	117	150	68	114	36	55	30	18	host	gene-PA0647	False	
gene-PA2171	5	3	2	0	0	1	0	0	host	gene-PA2171	False	
gene-PA1442	203	187	91	157	22	22	17	15	host	gene-PA1442	False	
gene-PA1700	157	42	80	18	32	7	4	5	host	gene-PA1700	False	
gene-PA2055	6	1	6	5	1	0	1	0	host	gene-PA2055	False	
gene-PA4620	7	7	10	26	3	3	2	0	host	gene-PA4620	False	
gene-PA3291	12	27	6	25	1	4	2	1	host	gene-PA3291	False	
gene-PA4918	30	29	4	13	3	3	0	1	host	gene-PA4918	False	
gene-PA2049	128	102	43	81	9	15	7	5	host	gene-PA2049	False	
gene-PA2058	4	5	2	0	0	0	0	1	host	gene-PA2058	False	
gene-PA5410	15	13	4	15	2	5	0	2	host	gbcA	False	
gene-PA1268	5	6	0	1	0	0	0	0	host	gene-PA1268	False	
gene-PA1200	83	64	21	40	9	10	1	2	host	gene-PA1200	False	
gene-PA4423	96	102	95	132	33	33	13	15	host	gene-PA4423	False	
gene-PA4990	52	31	28	19	12	4	3	5	host	gene-PA4990	False	
gene-PA1280	8	9	7	9	3	1	0	0	host	gene-PA1280	False	
gene-PA5433	19	14	5	16	4	3	0	3	host	gene-PA5433	False	
gene-PA1737	154	130	85	88	13	12	6	6	host	gene-PA1737	False	
gene-PA1106	86	73	50	90	9	16	10	6	host	gene-PA1106	False	
gene-PA1728	84	108	52	86	17	20	5	5	host	gene-PA1728	False	
gene-PA2608	38	24	14	28	3	7	2	2	host	gene-PA2608	False	
gene-PA1276	8	10	3	10	0	3	0	0	host	cobC	False	
gene-PA1666	9	14	8	14	5	5	6	1	host	gene-PA1666	False	
gene-PA5230	55	58	31	81	5	10	9	5	host	gene-PA5230	False	
gene-PA4384	6	7	4	7	1	0	2	1	host	gene-PA4384	False	
gene-PA1642	125	131	82	95	37	40	25	18	host	selD	False	
gene-PA4825	13	16	11	9	1	2	3	2	host	mgtA	False	
gene-PA0808	33	20	19	25	6	9	5	0	host	gene-PA0808	False	
gene-PA0944	87	99	98	150	32	44	24	21	host	purN	False	
