Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol	is_outlier	outlier_info
gene-PA4538	165	141	66	142	158	215	35	35	33	9	11	245	host	ndh	False	
gene-PA4983	52	32	14	9	17	140	5	4	17	3	1	318	host	gene-PA4983	False	
gene-PA1660	12	17	57	5	21	305	3	15	24	14	1	146	host	gene-PA1660	False	
gene-PA3093	81	73	27	65	105	128	11	12	15	9	8	286	host	gene-PA3093	False	
gene-PA2487	9	2	14	5	3	70	0	2	8	0	1	128	host	gene-PA2487	False	
gene-PA4084	28	22	46	12	18	321	3	4	30	1	1	387	host	cupB3	False	
gene-PA3970	66	57	117	62	54	284	8	7	25	4	1	482	host	amn	False	
gene-PA0460	92	66	85	48	49	174	18	14	14	14	9	131	host	gene-PA0460	False	
gene-PA0561	37	48	63	37	55	313	10	10	42	3	3	151	host	gene-PA0561	False	
gene-PA4623	4	2	11	2	7	68	0	1	8	0	0	152	host	gene-PA4623	False	
gene-PA0363	56	76	36	32	45	131	21	10	24	15	10	70	host	coaD	False	
gene-PA3500	11	6	21	16	7	196	2	4	32	0	1	275	host	gene-PA3500	False	
gene-PA3288	52	30	14	29	50	77	7	7	7	13	4	182	host	gene-PA3288	False	
gene-PA3329	16	40	102	6	53	262	1	5	27	2	2	314	host	gene-PA3329	False	
gene-PA0294	29	24	17	13	6	81	2	2	11	4	2	90	host	aguR	False	
gene-PA1417	21	6	14	72	20	82	8	1	13	0	1	132	host	gene-PA1417	False	
gene-PA3472	40	44	34	15	43	155	8	9	22	6	2	224	host	gene-PA3472	False	
gene-PA3202	81	94	26	47	44	119	16	12	4	16	4	84	host	gene-PA3202	False	
gene-PA4512	100	117	107	47	74	232	5	11	27	8	5	170	host	lpxO1	False	
gene-PA2343	4	4	11	4	9	60	2	0	9	2	1	78	host	mtlY	False	
gene-PA4306	22	36	50	6	8	106	3	4	8	10	2	56	host	flp	False	
gene-PA3028	335	172	54	135	164	144	25	26	16	10	12	224	host	moeA2	False	
gene-PA0047	50	51	31	96	109	124	32	24	10	11	18	196	host	gene-PA0047	False	
gene-PA4802.1	17	8	18	5	2	76	2	2	11	1	0	86	host	gene-PA4802.1	False	
gene-PA2504	108	67	22	26	39	104	10	11	10	6	2	118	host	gene-PA2504	False	
gene-PA3971	38	29	99	26	36	120	5	6	8	1	1	195	host	gene-PA3971	False	
gene-PA4033	11	4	15	5	5	148	1	3	7	0	0	133	host	gene-PA4033	False	
gene-PA1229	0	7	14	6	10	142	0	2	13	1	2	161	host	gene-PA1229	False	
gene-PA0259	177	168	131	97	139	369	24	28	40	22	15	258	host	gene-PA0259	False	
gene-PA4451.1	115	90	27	50	71	33	18	20	5	7	6	18	host	gene-PA4451.1	False	
gene-PA3010	147	218	93	76	170	113	26	34	12	9	15	35	host	gene-PA3010	False	
gene-PA2681	10	4	11	7	5	54	3	1	9	1	2	136	host	gene-PA2681	False	
gene-PA3955	30	17	19	13	15	133	3	3	23	0	0	120	host	gene-PA3955	False	
gene-PA3552	9	14	15	7	7	92	0	5	17	1	0	178	host	arnB	False	
gene-PA3537	35	26	30	28	19	155	7	15	19	6	4	182	host	argF	False	
gene-PA2225	4	7	13	4	6	105	0	1	6	1	1	79	host	gene-PA2225	False	
gene-PA2686	214	180	33	16	32	111	1	12	15	2	4	174	host	pfeR	False	
gene-PA1168	2	5	14	2	3	108	0	0	16	0	0	68	host	gene-PA1168	False	
gene-PA3198	128	78	58	83	114	172	12	24	17	5	7	128	host	gene-PA3198	False	
gene-PA2439	7	11	17	5	12	81	3	2	11	1	0	102	host	gene-PA2439	False	
gene-PA1591	14	18	18	61	90	145	16	34	20	14	2	141	host	gene-PA1591	False	
gene-PA3713	35	32	40	13	30	231	8	19	31	6	1	274	host	spdH	False	
gene-PA0714.1	8	22	34	6	23	92	3	8	12	3	4	61	host	phrD	False	
gene-PA2644	26	15	57	36	47	139	27	27	20	18	14	75	host	nuoI	False	
gene-PA2069	14	34	27	5	31	149	1	7	20	1	0	353	host	gene-PA2069	False	
gene-PA2476	38	40	23	29	33	136	6	12	10	3	1	271	host	dsbG	False	
gene-PA4135	47	71	45	36	52	161	8	5	19	3	3	123	host	gene-PA4135	False	
gene-PA0055	65	51	50	31	56	157	9	13	27	1	7	125	host	gene-PA0055	False	
gene-PA3104	109	99	40	46	82	102	9	9	12	7	1	147	host	xcpP	False	
gene-PA1064	102	113	152	58	74	163	15	16	13	10	3	221	host	gene-PA1064	False	
gene-PA4295	4	9	29	6	9	136	4	7	40	3	6	91	host	fppA	False	
gene-PA1678	115	92	38	106	161	129	24	48	14	31	22	119	host	gene-PA1678	False	
gene-PA2184	4	5	11	4	3	83	1	1	12	2	1	37	host	gene-PA2184	False	
gene-PA1392	57	76	61	34	60	291	8	14	26	3	1	121	host	gene-PA1392	False	
gene-PA4485	33	24	21	25	50	128	6	13	12	6	2	190	host	gene-PA4485	False	
gene-PA3773	8	1	19	0	2	141	0	0	24	0	0	249	host	gene-PA3773	False	
gene-PA1727	66	70	46	67	98	221	19	31	25	16	12	280	host	mucR	False	
gene-PA0566	40	53	18	31	26	105	8	5	8	4	2	107	host	gene-PA0566	False	
gene-PA4989	16	14	11	1	10	180	3	2	15	0	1	197	host	gene-PA4989	False	
gene-PA0255	55	56	20	23	48	91	9	10	13	5	3	150	host	gene-PA0255	False	
gene-PA2788	133	166	131	77	143	195	16	14	28	7	9	271	host	gene-PA2788	False	
gene-PA3207	74	43	10	38	55	40	11	16	8	4	5	41	host	gene-PA3207	False	
gene-PA0954	305	185	35	96	157	128	18	21	22	10	7	138	host	gene-PA0954	False	
gene-PA2784	8	7	12	4	3	100	3	0	12	0	1	146	host	gene-PA2784	False	
gene-PA2431	31	36	31	15	37	187	4	5	33	2	1	311	host	gene-PA2431	False	
gene-PA4917	75	86	178	8	36	124	7	8	21	1	0	204	host	gene-PA4917	False	
gene-PA3214	90	70	10	28	76	64	8	12	13	0	2	113	host	gene-PA3214	False	
gene-PA3863	22	12	29	19	24	113	5	4	20	5	3	174	host	dauA	False	
gene-PA4127	4	8	33	9	9	155	2	1	21	0	1	247	host	hpcG	False	
gene-PA4365	4	2	46	6	4	72	1	1	8	0	0	168	host	gene-PA4365	False	
gene-PA1158	59	50	34	25	54	190	7	10	14	13	5	432	host	gene-PA1158	False	
gene-PA1571	17	22	15	17	26	39	7	13	5	7	3	33	host	gene-PA1571	False	
gene-PA2128	4	35	20	13	14	55	5	4	5	2	2	73	host	cupA1	False	
gene-PA0227	9	8	13	5	11	120	2	0	15	0	0	370	host	gene-PA0227	False	
gene-PA2415	10	14	8	5	2	77	4	1	10	1	0	134	host	gene-PA2415	False	
gene-PA2525	34	35	43	35	48	209	4	7	16	2	0	342	host	gene-PA2525	False	
gene-PA1645	19	15	5	8	10	30	4	4	2	1	2	42	host	gene-PA1645	False	
gene-PA0145	13	10	12	7	9	89	2	0	6	1	1	190	host	gene-PA0145	False	
gene-PA2846	48	14	10	8	16	116	3	6	17	3	2	177	host	gene-PA2846	False	
gene-PA1380	7	16	13	4	7	87	1	3	11	0	1	125	host	gene-PA1380	False	
gene-PA1959	53	101	44	52	85	209	29	35	25	19	11	98	host	bacA	False	
gene-PA1988	30	17	9	16	17	51	2	1	8	2	0	87	host	pqqD	False	
gene-PA0402	127	140	143	160	186	255	37	30	38	12	10	232	host	pyrB	False	
gene-PA2825	100	46	43	45	47	91	3	7	16	1	2	70	host	ospR	False	
gene-PA0323	16	13	46	3	7	243	1	3	32	0	2	100	host	gene-PA0323	False	
gene-PA2544	45	40	13	20	30	111	2	7	10	5	1	286	host	gene-PA2544	False	
gene-PA1493	113	109	128	133	113	222	19	11	15	10	7	121	host	cysP	False	
gene-PA2997	118	203	97	184	241	182	42	55	17	32	25	128	host	nqrC	False	
gene-PA4354	9	12	36	1	3	224	2	0	21	1	1	185	host	gene-PA4354	False	
gene-PA1524	13	5	17	10	15	144	2	2	16	2	2	118	host	xdhA	False	
gene-PA2545	52	68	27	55	79	148	18	19	10	5	8	201	host	xthA	False	
gene-PA3039	23	21	37	6	10	248	2	4	34	2	1	266	host	gene-PA3039	False	
gene-PA4313a	134	88	30	53	89	79	14	18	9	8	4	116	host	gene-PA4313a	False	
gene-PA2166	12	3	14	1	4	79	1	0	8	2	0	53	host	gene-PA2166	False	
gene-PA5393	9	13	37	4	10	272	3	5	39	2	3	434	host	gene-PA5393	False	
gene-PA1680	12	3	4	10	11	74	2	4	9	3	1	102	host	gene-PA1680	False	
gene-PA1127	229	294	147	48	100	140	10	13	14	6	5	185	host	gene-PA1127	False	
gene-PA0498	55	60	103	14	25	365	8	1	47	3	3	207	host	gene-PA0498	False	
gene-PA2790	22	14	29	10	17	76	1	6	10	0	0	34	host	gene-PA2790	False	
gene-PA0146	15	7	31	5	9	246	2	4	22	6	0	373	host	gene-PA0146	False	
gene-PA4732	200	213	126	170	188	339	53	35	45	18	13	295	host	pgi	False	
gene-PA1109	33	25	11	8	18	95	3	8	6	3	3	166	host	gene-PA1109	False	
gene-PA4353	9	11	17	9	14	90	3	3	9	0	4	128	host	gene-PA4353	False	
gene-PA3089a	28	25	10	31	35	53	7	1	9	2	4	86	host	gene-PA3089a	False	
gene-PA3661	8	9	20	9	8	134	3	1	17	4	1	110	host	gene-PA3661	False	
gene-PA2316	21	13	14	7	17	101	2	3	3	1	1	246	host	gene-PA2316	False	
gene-PA0442	0	0	1	0	1	59	0	0	5	0	0	51	host	gene-PA0442	False	
gene-PA4815	3	8	16	5	11	135	6	3	11	1	0	393	host	gene-PA4815	False	
gene-PA1184	21	17	19	10	12	97	3	3	15	0	1	306	host	gene-PA1184	False	
gene-PA1346	3	4	16	2	4	112	2	4	12	0	1	81	host	gene-PA1346	False	
gene-PA3206	51	26	21	29	46	131	9	10	25	2	2	209	host	gene-PA3206	False	
gene-PA1523	39	37	49	48	74	299	8	3	31	2	4	264	host	xdhB	False	
gene-PA3021	84	50	35	56	37	136	6	7	12	3	7	116	host	gene-PA3021	False	
gene-PA0788a	3	7	11	3	1	62	0	0	12	0	0	51	host	gene-PA0788a	False	
gene-PA0403	13	14	44	17	22	216	7	4	24	4	6	252	host	pyrR	False	
gene-PA4086	9	28	19	5	14	152	2	5	10	1	1	76	host	cupB1	False	
gene-PA4703	54	44	18	21	39	109	3	9	23	2	3	124	host	gene-PA4703	False	
gene-PA4040	56	29	191	15	35	231	7	7	28	1	1	255	host	gene-PA4040	False	
gene-PA5366	86	121	184	49	81	244	20	36	52	28	13	165	host	pstB	False	
gene-PA1623	135	107	53	90	96	110	16	11	16	8	5	143	host	gene-PA1623	False	
gene-PA0840	70	28	69	113	150	178	27	15	29	5	7	272	host	gene-PA0840	False	
gene-PA0268	24	13	20	15	34	150	4	3	23	4	2	186	host	gene-PA0268	False	
gene-PA3239	43	63	25	39	85	95	6	15	11	10	4	63	host	gene-PA3239	False	
gene-PA4912	21	26	21	7	26	250	2	9	14	5	2	146	host	gene-PA4912	False	
gene-PA2359	4	6	28	7	3	172	5	0	18	1	1	206	host	gene-PA2359	False	
gene-PA0491	17	2	50	1	7	275	1	0	31	1	2	386	host	gene-PA0491	False	
gene-PA2068	7	16	13	6	18	90	0	6	9	4	0	206	host	gene-PA2068	False	
gene-PA5446	124	91	64	61	101	114	32	42	9	34	23	68	host	gene-PA5446	False	
gene-PA5519	44	52	39	31	45	144	21	11	22	8	2	135	host	gene-PA5519	False	
gene-PA0569	32	21	22	14	17	121	5	6	9	1	2	212	host	gene-PA0569	False	
gene-PA3450	14	18	45	14	20	229	6	10	28	4	3	143	host	gene-PA3450	False	
gene-PA4791	44	32	12	20	25	72	5	4	6	2	0	97	host	gene-PA4791	False	
gene-PA3519	3	2	35	3	6	215	0	3	30	0	0	126	host	gene-PA3519	False	
gene-PA1520	102	114	39	69	75	164	14	24	16	19	16	212	host	gene-PA1520	False	
gene-PA1468	10	6	9	6	10	81	2	2	13	0	1	82	host	gene-PA1468	False	
gene-PA0536	143	158	65	111	179	200	33	34	18	15	13	241	host	gene-PA0536	False	
gene-PA1840	45	44	23	45	40	79	9	7	10	5	6	66	host	gene-PA1840	False	
gene-PA5028	306	314	115	76	149	191	22	33	27	25	15	162	host	gene-PA5028	False	
gene-PA5485	125	92	62	96	135	308	13	14	38	3	7	316	host	ampDh2	False	
gene-PA2580	38	31	11	13	25	97	8	11	13	4	3	46	host	gene-PA2580	False	
gene-PA2486	3	2	8	3	2	49	1	0	5	0	0	70	host	gene-PA2486	False	
gene-PA0137	5	5	20	2	0	150	1	0	21	1	0	237	host	gene-PA0137	False	
gene-PA2277	5	1	5	2	2	35	1	0	7	0	1	40	host	arsR	False	
gene-PA5175	251	135	70	71	106	109	19	22	11	9	6	198	host	cysQ	False	
gene-PA3228	180	161	91	192	244	263	50	34	25	17	23	309	host	gene-PA3228	False	
gene-PA2189	16	12	17	10	11	93	1	3	17	1	1	54	host	gene-PA2189	False	
gene-PA2150	1	5	24	3	3	154	0	0	17	1	0	319	host	gene-PA2150	False	
gene-PA3543	9	12	38	3	3	110	1	3	19	2	2	173	host	algK	False	
gene-PA0929	285	318	19	16	13	92	5	4	24	3	6	94	host	gene-PA0929	False	
gene-PA3759	4	6	19	5	5	130	1	2	16	1	0	206	host	gene-PA3759	False	
gene-PA0175	21	12	68	10	23	238	2	4	38	5	4	331	host	gene-PA0175	False	
gene-PA0171	17	42	25	8	17	142	0	1	11	1	0	223	host	gene-PA0171	False	
gene-PA0645	17	40	26	20	44	122	12	27	7	23	5	59	host	gene-PA0645	False	
gene-PA1608	69	69	53	116	138	230	27	19	27	6	10	251	host	gene-PA1608	False	
gene-PA0894	39	39	24	20	45	109	8	5	8	4	4	164	host	gene-PA0894	False	
gene-PA3994	4	4	17	5	5	126	2	1	11	1	0	145	host	gene-PA3994	False	
gene-PA1273	20	12	24	6	10	84	2	2	11	4	0	148	host	cobB	False	
gene-PA5477	59	55	49	18	35	304	6	13	38	5	5	277	host	gene-PA5477	False	
gene-PA2449	154	127	32	89	141	182	39	33	19	17	8	339	host	gene-PA2449	False	
gene-PA0909	3	12	9	4	15	58	4	4	7	3	2	70	host	gene-PA0909	False	
gene-PA0103a	43	44	45	17	18	215	9	16	28	9	5	155	host	gene-PA0103a	False	
gene-PA1058	18	22	10	21	44	70	5	3	4	2	0	113	host	gene-PA1058	False	
gene-PA1530	59	82	32	86	107	92	17	34	8	17	9	70	host	gene-PA1530	False	
gene-PA1744	2	5	7	4	7	37	0	1	6	1	0	30	host	gene-PA1744	False	
gene-PA1601	59	6	24	60	14	203	11	5	20	2	3	412	host	gene-PA1601	False	
gene-PA3694	79	71	38	61	78	106	8	11	13	2	6	76	host	gene-PA3694	False	
gene-PA4626	26	18	182	15	21	136	3	5	63	0	3	239	host	hprA	False	
gene-PA1679	104	77	54	77	101	118	23	30	17	20	10	93	host	gene-PA1679	False	
gene-PA2061	16	9	20	10	7	95	0	2	12	1	0	209	host	gene-PA2061	False	
gene-PA1578a	9	12	8	6	9	60	4	7	8	4	1	105	host	gene-PA1578a	False	
gene-PA0855	16	18	33	7	6	90	1	3	11	1	2	176	host	gene-PA0855	False	
gene-PA4302	27	30	26	15	33	188	11	8	29	15	4	424	host	tadA	False	
gene-PA1957	6	6	4	3	9	61	4	4	7	0	1	111	host	gene-PA1957	False	
gene-PA4478	138	170	49	60	133	143	15	25	16	14	7	145	host	gene-PA4478	False	
gene-PA1169	13	24	40	53	85	327	9	10	44	3	3	528	host	gene-PA1169	False	
gene-PA0829	15	14	20	8	14	141	2	7	14	3	0	192	host	gene-PA0829	False	
gene-PA4037	11	4	52	5	5	213	0	2	23	1	0	185	host	gene-PA4037	False	
gene-PA1112a	84	94	142	48	72	95	16	16	14	9	2	77	host	gene-PA1112a	False	
gene-PA0170	26	66	25	13	44	116	1	1	7	1	2	220	host	gene-PA0170	False	
gene-PA5219	66	49	53	30	42	220	9	13	46	4	0	255	host	gene-PA5219	False	
gene-PA1347	8	11	28	0	3	188	0	0	17	0	0	104	host	gene-PA1347	False	
gene-PA0583	44	57	21	39	65	153	16	21	15	11	4	210	host	gene-PA0583	False	
gene-PA4042	36	21	6	13	18	81	2	7	10	6	2	46	host	xseB	False	
gene-PA2295	4	1	12	1	2	70	0	0	15	0	0	92	host	gene-PA2295	False	
gene-PA2856	272	171	57	52	66	162	16	14	26	14	5	104	host	tesA	False	
gene-PA0528	10	6	48	14	28	231	4	3	29	1	0	350	host	gene-PA0528	False	
gene-PA0952	162	124	142	72	127	71	21	11	12	2	5	41	host	gene-PA0952	False	
gene-PA1863	17	22	30	17	17	196	4	4	16	5	2	235	host	modA	False	
gene-PA0383	55	52	42	44	73	237	15	14	23	10	4	376	host	gene-PA0383	False	
gene-PA2367	55	52	25	28	27	61	5	7	21	3	3	66	host	gene-PA2367	False	
gene-PA3418	19	21	43	21	36	139	7	7	14	1	4	321	host	ldh	False	
gene-PA1972	10	10	22	5	7	162	0	3	24	1	1	238	host	gene-PA1972	False	
gene-PA2173a	3	3	9	2	3	34	0	0	7	1	0	28	host	gene-PA2173a	False	
gene-PA4871	18	10	5	5	8	64	0	2	10	1	0	114	host	gene-PA4871	False	
gene-PA1641	15	15	4	4	4	54	1	1	7	2	1	57	host	gene-PA1641	False	
gene-PA2203	7	4	18	21	40	64	1	3	12	2	1	51	host	gene-PA2203	False	
gene-PA0472	193	191	17	5	10	191	3	3	15	1	1	163	host	gene-PA0472	False	
gene-PA1755	36	34	12	23	18	53	2	2	7	3	4	18	host	gene-PA1755	False	
gene-PA2696	13	35	22	3	10	160	0	1	20	0	2	187	host	gene-PA2696	False	
gene-PA5476	27	20	38	16	14	228	4	3	39	4	1	398	host	citA	False	
gene-PA1447	86	73	18	46	66	53	14	8	2	5	4	70	host	fliQ	False	
gene-PA3524	38	71	69	58	75	189	29	25	17	23	21	68	host	gloA1	False	
gene-PA0283	23	12	74	8	17	396	3	2	59	5	1	464	host	sbp	False	
gene-PA1637	30	36	12	12	21	78	4	4	8	3	0	219	host	kdpE	False	
gene-PA4861	8	8	23	3	7	192	0	1	17	1	1	174	host	gene-PA4861	False	
gene-PA3395	6	3	18	6	20	127	5	6	21	6	4	143	host	nosY	False	
gene-PA4842	340	291	155	150	178	240	45	45	35	26	24	191	host	gene-PA4842	False	
gene-PA4444	74	86	76	48	72	246	12	14	40	12	6	160	host	mltB1	False	
gene-PA2169	0	4	13	4	0	48	0	1	7	1	0	113	host	gene-PA2169	False	
gene-PA4482	39	21	42	31	44	90	7	14	11	4	4	66	host	gatC	False	
gene-PA4778	38	38	21	14	25	113	6	16	10	7	4	118	host	cueR	False	
gene-PA2663	0	3	3	0	1	49	0	0	4	0	0	129	host	ppyR	False	
gene-PA2383	98	135	13	83	111	64	13	19	8	4	5	65	host	gene-PA2383	False	
gene-PA5186	30	21	18	14	22	102	2	2	18	1	3	221	host	gene-PA5186	False	
gene-PA0016	103	155	75	151	227	319	33	45	40	25	23	262	host	trkA	False	
gene-PA0577	167	194	139	185	276	380	58	67	48	29	26	279	host	dnaG	False	
gene-PA1605	38	21	37	14	14	144	6	3	19	2	1	118	host	gene-PA1605	False	
gene-PA1507	82	61	35	38	67	194	5	3	32	1	5	280	host	gene-PA1507	False	
gene-PA3317	46	51	21	27	24	76	11	13	12	10	3	100	host	gene-PA3317	False	
gene-PA2232	70	59	68	62	92	187	20	16	31	7	3	232	host	pslB	False	
gene-PA3490	12	6	8	9	7	52	1	3	2	1	0	70	host	gene-PA3490	False	
gene-PA0676	43	19	21	10	17	132	8	6	19	0	0	177	host	vreR	False	
gene-PA1279	15	9	6	5	11	26	2	2	4	3	1	56	host	cobU	False	
gene-PA1980	3	2	19	3	3	78	0	1	12	1	1	104	host	eraR	False	
gene-PA0478	22	16	39	7	4	167	0	1	25	1	0	221	host	gene-PA0478	False	
gene-PA3335	11	86	102	1	103	237	2	20	16	5	2	260	host	gene-PA3335	False	
gene-PA0553	104	86	41	49	57	85	12	20	5	13	2	44	host	gene-PA0553	False	
gene-PA4728	25	21	19	17	25	111	2	6	7	2	6	87	host	folK	False	
gene-PA2655	58	41	14	28	46	57	7	8	10	4	2	32	host	gene-PA2655	False	
gene-PA2923	4	5	25	0	2	174	0	0	22	0	0	262	host	hisJ	False	
gene-PA0535	36	32	24	16	27	92	1	6	6	6	3	257	host	gene-PA0535	False	
gene-PA1663	15	14	51	5	18	170	2	8	21	17	2	190	host	gene-PA1663	False	
gene-PA0446	153	103	60	64	95	287	19	26	28	27	7	499	host	gene-PA0446	False	
gene-PA1206	22	24	14	28	33	81	9	18	11	8	5	71	host	gene-PA1206	False	
gene-PA2838	7	8	5	4	6	88	3	0	8	0	1	160	host	gene-PA2838	False	
gene-PA1895	21	23	104	9	25	392	2	5	38	2	3	259	host	gene-PA1895	False	
gene-PA4876	39	36	27	25	27	88	8	5	19	3	3	136	host	osmE	False	
gene-PA2986	123	146	64	140	198	235	29	30	21	19	20	182	host	gene-PA2986	False	
gene-PA4029	27	38	20	10	26	261	3	8	12	6	0	146	host	gene-PA4029	False	
gene-PA1833a	203	161	43	77	127	124	16	23	12	6	7	240	host	gene-PA1833a	False	
gene-PA5472	82	101	46	35	69	174	15	19	37	14	8	188	host	gene-PA5472	False	
gene-PA4949	107	105	37	59	79	129	7	13	17	8	9	216	host	gene-PA4949	False	
gene-PA1646	51	42	39	19	21	172	7	9	36	6	4	297	host	gene-PA1646	False	
gene-PA3764	91	126	57	96	138	248	16	22	33	15	12	240	host	gene-PA3764	False	
gene-PA3342	125	101	49	40	69	182	9	7	18	3	0	119	host	gene-PA3342	False	
gene-PA3012	41	58	23	40	75	84	6	12	10	7	4	31	host	gene-PA3012	False	
gene-PA5200	191	157	62	60	62	161	16	16	15	9	10	153	host	amgR	False	
gene-PA0119	22	23	91	2	12	264	5	1	28	1	1	228	host	gene-PA0119	False	
gene-PA3715	42	35	44	44	67	212	18	16	23	10	1	310	host	gene-PA3715	False	
gene-PA3313	54	77	59	37	40	203	16	26	28	14	6	230	host	gene-PA3313	False	
gene-PA4174	27	12	20	5	11	120	1	0	38	0	0	510	host	gene-PA4174	False	
gene-PA1681	135	124	39	101	112	196	33	26	18	22	14	301	host	aroC	False	
gene-PA3877	3	9	185	5	3	436	1	2	49	0	2	505	host	narK1	False	
gene-PA1535	67	79	32	52	104	197	5	9	23	1	3	190	host	gene-PA1535	False	
gene-PA2435	122	65	21	60	88	113	16	10	15	5	9	149	host	gene-PA2435	False	
gene-PA4503	49	34	93	21	32	415	9	5	19	3	2	189	host	gene-PA4503	False	
gene-PA5386	4	8	23	7	1	136	2	5	13	4	2	278	host	cdhA	False	
gene-PA3062	5	2	5	1	5	39	0	0	6	0	0	102	host	pelC	False	
gene-PA4184	87	46	48	19	38	185	5	3	19	9	3	173	host	gene-PA4184	False	
gene-PA5438	120	121	66	72	153	175	28	22	28	14	13	251	host	gene-PA5438	False	
gene-PA2478	24	22	14	26	29	93	8	4	6	4	0	146	host	gene-PA2478	False	
gene-PA4737	105	81	35	82	107	106	21	18	13	5	7	135	host	gene-PA4737	False	
gene-PA1820	174	227	100	148	283	244	13	36	26	16	7	259	host	nhaB	False	
gene-PA2355	6	7	18	3	6	117	0	0	10	1	0	230	host	gene-PA2355	False	
gene-PA0853	23	15	28	12	8	90	3	7	14	1	3	174	host	gene-PA0853	False	
gene-PA4107	4	5	18	5	2	89	1	0	11	1	1	121	host	gene-PA4107	False	
gene-PA4068	198	192	64	120	155	206	17	21	22	12	9	159	host	gene-PA4068	False	
gene-PA2332	34	22	14	9	20	64	4	2	9	2	1	66	host	gene-PA2332	False	
gene-PA2530	51	51	16	53	47	115	5	8	10	5	6	132	host	gene-PA2530	False	
gene-PA5218	39	33	16	18	28	125	3	4	17	5	1	219	host	gene-PA5218	False	
gene-PA1321	27	21	19	10	17	105	0	8	15	8	5	248	host	cyoE	False	
gene-PA4637a	16	22	45	17	25	147	5	13	24	4	3	102	host	gene-PA4637a	False	
gene-PA1350	10	14	18	8	7	72	3	1	13	0	0	103	host	gene-PA1350	False	
gene-PA5202	26	35	9	19	26	54	7	11	9	7	2	87	host	gene-PA5202	False	
gene-PA0494	30	14	18	11	6	175	1	6	15	1	1	338	host	gene-PA0494	False	
gene-PA0984	53	62	45	8	34	202	4	5	16	3	2	133	host	gene-PA0984	False	
gene-PA4115	69	55	123	44	58	326	7	4	34	3	5	345	host	gene-PA4115	False	
gene-PA4577	6	17	90	1	3	69	0	1	8	1	0	91	host	gene-PA4577	False	
gene-PA0764	230	171	115	203	290	229	55	34	61	21	19	287	host	mucB	False	
gene-PA5009	67	93	57	79	118	158	21	25	11	11	16	206	host	waaP	False	
gene-PA4766	84	71	23	39	75	90	8	14	10	10	5	73	host	gene-PA4766	False	
gene-PA2745	56	49	21	34	74	96	14	18	13	8	1	68	host	gene-PA2745	False	
gene-PA2831	49	29	19	31	40	145	6	8	11	7	3	140	host	gene-PA2831	False	
gene-PA2763	11	11	6	10	17	55	1	3	3	2	0	16	host	gene-PA2763	False	
gene-PA2338	9	15	23	12	17	132	3	5	18	3	3	253	host	gene-PA2338	False	
gene-PA0231	20	11	15	8	9	80	0	1	14	0	0	217	host	pcaD	False	
gene-PA0398	129	131	29	48	49	86	8	12	11	9	2	57	host	gene-PA0398	False	
gene-PA4540	23	14	23	12	11	272	2	3	27	3	3	430	host	gene-PA4540	False	
gene-PA2607	30	13	14	21	12	53	2	2	1	2	5	111	host	gene-PA2607	False	
gene-PA0513	2	0	14	1	0	89	0	1	16	0	0	217	host	gene-PA0513	False	
gene-PA4332	85	70	24	31	50	199	11	20	12	3	5	367	host	gene-PA4332	False	
gene-PA1224	18	15	14	1	6	102	0	0	9	4	0	113	host	gene-PA1224	False	
gene-PA2700	12	11	20	8	2	145	2	5	24	0	2	291	host	opdB	False	
gene-PA0064	50	46	28	24	45	149	6	11	22	5	5	261	host	gene-PA0064	False	
gene-PA5456	75	51	94	73	72	457	9	10	49	4	7	514	host	gene-PA5456	False	
gene-PA3546	3	6	26	3	1	172	0	0	27	2	1	230	host	algX	False	
gene-PA1742	61	62	58	64	69	80	13	12	9	9	0	53	host	gene-PA1742	False	
gene-PA5259	205	145	46	102	170	172	17	22	22	13	7	185	host	hemD	False	
gene-PA4522	57	65	45	33	64	129	7	9	15	3	4	119	host	ampD	False	
gene-PA3731	221	297	176	80	121	106	26	29	17	21	14	178	host	gene-PA3731	False	
gene-PA0103	20	13	41	8	22	264	8	11	26	10	3	379	host	gene-PA0103	False	
gene-PA3469	54	53	23	51	70	93	10	8	7	5	2	133	host	gene-PA3469	False	
gene-PA1333	26	34	12	20	27	51	1	4	6	0	1	54	host	gene-PA1333	False	
gene-PA4816	14	25	15	14	14	92	1	4	10	2	1	241	host	gene-PA4816	False	
gene-PA1026	36	17	9	10	15	62	9	5	8	6	1	113	host	gene-PA1026	False	
gene-PA0233	22	8	15	5	15	152	1	1	15	2	0	468	host	gene-PA0233	False	
gene-PA0088	58	85	117	46	125	256	9	25	31	25	3	436	host	gene-PA0088	False	
gene-PA0228	24	12	21	3	9	87	2	3	21	2	0	321	host	pcaF	False	
gene-PA2408	217	162	27	134	184	73	23	19	10	3	5	88	host	gene-PA2408	False	
gene-PA2484	53	50	15	40	29	93	9	13	13	8	10	84	host	gene-PA2484	False	
gene-PA2870	49	40	24	45	49	140	9	7	14	4	6	369	host	gene-PA2870	False	
gene-PA2682	34	27	32	24	51	152	3	7	18	4	3	212	host	gene-PA2682	False	
gene-PA0009	48	99	69	159	195	266	46	43	30	34	20	266	host	glyQ	False	
gene-PA5498	50	44	29	23	29	237	6	3	22	3	5	170	host	gene-PA5498	False	
gene-PA3238	64	59	42	39	47	238	3	7	33	3	4	150	host	gene-PA3238	False	
