Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	is_outlier	outlier_info
gene-SAURSH1000_RS05225	1	3	3	1	5	3	5	3	0	2	2	1	1	3	0	0	2	0	0	1	0	host	gene-SAURSH1000_RS05225	False	
gene-SAURSH1000_RS10480	657	902	884	789	1069	828	859	757	822	675	616	469	398	546	250	246	189	150	127	208	92	host	gene-SAURSH1000_RS10480	False	
gene-SAURSH1000_RS12880	99	89	102	172	50	69	159	58	95	248	89	53	198	126	40	32	46	13	18	48	6	host	gene-SAURSH1000_RS12880	False	
gene-SAURSH1000_RS05900	325	292	424	421	538	490	519	444	407	492	437	217	212	290	81	79	85	43	69	107	21	host	gene-SAURSH1000_RS05900	False	
gene-SAURSH1000_RS12770	28	43	37	58	17	40	71	25	50	64	33	26	26	33	12	8	9	1	0	11	1	host	gene-SAURSH1000_RS12770	False	
gene-SAURSH1000_RS03380	227	343	354	444	336	434	429	266	361	674	269	268	621	360	201	154	203	99	131	146	56	host	csbB	False	
gene-SAURSH1000_RS12935	86	76	59	113	97	83	138	192	64	121	249	41	62	145	24	13	17	12	15	48	9	host	asp2	False	
gene-CPT_phageK_gp118	0	0	0	56	1	2	11	4	9	774	130	1363	5090	3579	5079	5506	6203	7307	4211	5481	2585	phage	gene-CPT_phageK_gp118	False	
gene-SAURSH1000_RS04635	83	93	83	104	80	61	106	69	70	122	41	45	109	54	34	43	28	15	26	20	7	host	gene-SAURSH1000_RS04635	False	
gene-SAURSH1000_RS12230	240	101	238	338	85	220	437	114	199	411	110	131	238	175	77	56	47	27	30	50	13	host	gene-SAURSH1000_RS12230	False	
gene-SAURSH1000_RS10990	29	7	31	22	2	23	26	6	21	18	5	15	5	5	11	1	2	2	1	4	1	host	gene-SAURSH1000_RS10990	False	
gene-SAURSH1000_RS00970	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	host	gene-SAURSH1000_RS00970	False	
gene-SAURSH1000_RS02820	28	19	15	52	22	48	50	36	31	96	46	17	60	47	8	8	15	5	8	16	2	host	gene-SAURSH1000_RS02820	False	
gene-SAURSH1000_RS09355	47	17	35	103	19	54	82	31	48	92	43	19	45	44	19	12	16	7	10	11	6	host	scpA	False	
gene-SAURSH1000_RS06630	289	214	455	539	238	616	530	323	516	842	528	221	642	614	246	123	206	73	91	164	53	host	gene-SAURSH1000_RS06630	False	
gene-SAURSH1000_RS00910	23	5	21	18	4	10	14	1	6	13	2	7	13	1	10	7	0	2	4	1	1	host	gene-SAURSH1000_RS00910	False	
gene-SAURSH1000_RS03685	337	547	435	460	492	449	640	463	438	614	527	218	364	473	99	105	111	53	62	155	24	host	hprK	False	
gene-SAURSH1000_RS12760	2	3	2	2	0	1	1	3	0	6	2	1	1	3	0	0	0	0	1	0	0	host	gene-SAURSH1000_RS12760	False	
gene-SAURSH1000_RS04140	433	382	463	557	479	427	669	470	477	615	553	307	278	432	129	106	129	77	84	142	53	host	gene-SAURSH1000_RS04140	False	
gene-SAURSH1000_RS00540	8	12	14	11	16	20	14	10	7	12	6	6	12	26	2	2	8	2	6	6	1	host	cap8E	False	
gene-SAURSH1000_RS08565	86	31	91	94	23	113	120	30	55	128	37	45	64	57	19	14	22	8	6	29	5	host	gene-SAURSH1000_RS08565	False	
gene-SAURSH1000_RS12930	72	50	46	71	43	47	70	112	45	84	175	32	35	101	14	5	11	6	5	28	5	host	asp3	False	
gene-SAURSH1000_RS04040	266	278	268	314	317	354	311	239	297	314	233	131	206	226	68	60	75	23	51	81	22	host	gene-SAURSH1000_RS04040	False	
gene-SAURSH1000_RS05235	15	24	19	19	12	11	24	5	15	23	19	8	20	24	7	8	7	3	9	8	4	host	gene-SAURSH1000_RS05235	False	
gene-CPT_phageK_gp010	0	0	0	5	0	3	161	13	131	672	191	436	507	457	293	142	118	159	110	67	111	phage	gene-CPT_phageK_gp010	False	
gene-SAURSH1000_RS12575	48	198	70	67	130	84	76	50	62	122	57	41	247	162	78	70	157	32	40	73	15	host	gene-SAURSH1000_RS12575	False	
gene-SAURSH1000_RS10970	57	63	54	81	64	59	78	92	66	99	107	41	39	83	14	11	23	9	15	23	5	host	gene-SAURSH1000_RS10970	False	
gene-SAURSH1000_RS11720	2	2	4	4	5	3	1	7	2	4	7	4	3	7	1	2	2	0	0	1	0	host	bioD	False	
gene-SAURSH1000_RS11000	174	52	185	188	57	177	158	71	160	122	77	86	66	70	38	27	19	27	13	33	11	host	ureC	False	
gene-SAURSH1000_RS10940	168	295	187	243	186	197	303	225	192	324	293	118	271	493	82	118	157	41	66	162	14	host	gene-SAURSH1000_RS10940	False	
gene-CPT_phageK_gp164	0	0	0	0	0	0	28	1	10	311	37	151	396	143	156	138	86	122	98	65	62	phage	gene-CPT_phageK_gp164	False	
gene-SAURSH1000_RS07090	423	111	772	517	69	753	451	79	341	578	60	205	498	171	207	106	126	85	57	159	49	host	gene-SAURSH1000_RS07090	False	
gene-SAURSH1000_RS11060	293	193	368	653	202	421	631	281	407	917	488	216	580	577	156	125	184	47	97	163	42	host	gene-SAURSH1000_RS11060	False	
gene-SAURSH1000_RS05715	9	7	8	20	14	15	20	16	8	15	21	6	13	11	2	1	2	0	4	2	1	host	dprA	False	
gene-SAURSH1000_RS00505	3	2	4	15	5	4	9	4	8	13	6	4	4	10	1	5	2	1	4	2	0	host	gene-SAURSH1000_RS00505	False	
gene-SAURSH1000_RS05385	975	1000	1100	1359	892	1252	1421	1353	1077	1712	1912	549	991	1468	331	255	419	146	205	415	79	host	murD	False	
gene-SAURSH1000_RS06605	182	180	251	308	133	280	341	178	214	485	227	145	435	388	125	72	143	27	71	118	19	host	arlS	False	
gene-SAURSH1000_RS03575	154	166	160	306	176	230	342	235	217	334	279	79	199	224	55	51	78	20	39	84	15	host	gene-SAURSH1000_RS03575	False	
gene-SAURSH1000_RS08460	12	16	9	23	20	14	12	24	13	24	23	9	16	18	0	3	7	0	10	8	0	host	sdpA	False	
gene-SAURSH1000_RS00420	110	101	74	139	84	86	144	92	93	112	119	48	54	78	19	30	21	5	22	28	2	host	gene-SAURSH1000_RS00420	False	
gene-SAURSH1000_RS09150	328	496	370	664	495	505	658	539	434	839	500	246	525	487	114	104	190	40	102	174	22	host	gene-SAURSH1000_RS09150	False	
gene-SAURSH1000_RS07735	580	620	546	1014	680	593	1092	886	708	1108	1279	381	521	1147	152	161	287	74	139	309	39	host	recJ	False	
gene-SAURSH1000_RS00060	29	80	32	41	61	37	43	66	29	55	77	18	38	65	6	12	17	4	7	13	5	host	gene-SAURSH1000_RS00060	False	
gene-SAURSH1000_RS05345	166	227	213	394	298	278	342	282	261	383	234	139	136	118	57	58	46	16	31	38	14	host	gene-SAURSH1000_RS05345	False	
gene-SAURSH1000_RS01530	6	10	8	5	12	8	7	11	4	12	11	4	6	14	4	3	2	3	1	3	1	host	efeO	False	
gene-SAURSH1000_RS08580	16	19	6	12	21	26	15	22	12	26	18	4	20	11	1	1	1	1	2	6	2	host	gene-SAURSH1000_RS08580	False	
gene-SAURSH1000_RS03150	115	163	142	223	178	174	267	175	161	265	205	90	141	214	37	36	70	18	31	67	10	host	graR	False	
gene-SAURSH1000_RS04445	106	163	145	181	131	142	284	163	210	274	199	84	153	248	84	45	70	22	30	59	16	host	gene-SAURSH1000_RS04445	False	
gene-SAURSH1000_RS03145	134	184	161	253	218	205	262	178	205	307	253	113	160	239	50	42	72	22	31	63	12	host	graX	False	
gene-SAURSH1000_RS06800	297	352	249	342	539	325	429	367	334	290	384	131	162	301	85	79	91	38	52	110	27	host	nth	False	
gene-SAURSH1000_RS01905	199	303	229	342	289	314	335	323	196	635	405	107	392	354	108	72	151	37	64	146	15	host	gene-SAURSH1000_RS01905	False	
gene-SAURSH1000_RS12060	46	50	37	76	67	45	86	45	39	77	36	25	51	34	8	26	17	3	8	17	3	host	scrA	False	
gene-SAURSH1000_RS13230	8	18	4	8	7	4	13	4	2	17	9	6	43	73	4	12	22	3	6	22	2	host	gene-SAURSH1000_RS13230	False	
gene-SAURSH1000_RS07880	348	743	226	496	409	423	582	465	322	830	594	172	554	890	111	160	302	66	95	250	27	host	gene-SAURSH1000_RS07880	False	
gene-SAURSH1000_RS10885	72	60	54	115	65	56	110	79	48	130	115	51	97	139	15	35	62	9	35	50	10	host	sarV	False	
gene-SAURSH1000_RS03620	877	789	620	1435	593	580	1368	635	731	874	799	434	517	766	189	258	160	50	190	193	42	host	fakB1	False	
gene-SAURSH1000_RS04370	48	294	60	56	184	57	60	144	35	86	86	30	108	208	29	38	54	19	12	25	6	host	gene-SAURSH1000_RS04370	False	
gene-SAURSH1000_RS10825	198	258	189	253	275	182	269	215	210	304	283	98	224	208	46	74	72	17	54	73	16	host	gene-SAURSH1000_RS10825	False	
gene-SAURSH1000_RS00400	5	12	5	12	10	8	11	12	4	19	11	3	7	10	4	1	8	2	4	2	0	host	gene-SAURSH1000_RS00400	False	
gene-SAURSH1000_RS09930	65	19	61	92	18	52	77	21	39	74	34	43	40	49	19	17	14	15	19	20	7	host	thiE	False	
gene-SAURSH1000_RS04060	168	74	87	267	94	78	282	128	130	163	141	86	76	105	25	27	21	11	34	20	8	host	gene-SAURSH1000_RS04060	False	
gene-CPT_phageK_gp139	0	0	0	12	0	0	59	4	31	1523	215	1536	5408	2751	3544	1338	1879	1545	657	758	567	phage	gene-CPT_phageK_gp139	False	
gene-SAURSH1000_RS09715	11	56	14	6	31	9	15	18	15	7	25	7	10	22	7	3	4	2	2	4	9	host	ilvD	False	
gene-SAURSH1000_RS13250	393	473	395	479	683	443	538	833	345	441	1018	179	238	511	87	103	147	47	70	152	35	host	mnmE	False	
gene-SAURSH1000_RS06040	4	4	1	7	5	4	9	4	3	17	7	2	6	4	0	0	1	0	2	1	1	host	gene-SAURSH1000_RS06040	False	
gene-SAURSH1000_RS01095	12	6	8	11	2	18	4	1	10	8	1	5	4	3	0	1	0	0	0	1	1	host	gene-SAURSH1000_RS01095	False	
gene-SAURSH1000_RS02150	177	244	221	300	297	240	287	353	230	331	325	108	206	292	52	38	86	16	32	82	11	host	yabA	False	
gene-SAURSH1000_RS13070	4	134	2	3	2	0	3	4	4	3	7	4	13	26	5	2	6	0	1	6	1	host	hisG	False	
gene-SAURSH1000_RS08690	1	3	5	3	4	4	2	1	2	5	1	4	8	5	0	0	4	0	0	4	1	host	gene-SAURSH1000_RS08690	False	
gene-SAURSH1000_RS03950	102	179	121	169	231	146	167	172	108	217	151	82	212	166	66	62	75	34	46	51	15	host	gene-SAURSH1000_RS03950	False	
gene-SAURSH1000_RS03415	73	79	51	92	112	72	83	120	67	64	126	28	48	93	18	21	28	10	9	25	9	host	queD	False	
gene-SAURSH1000_RS04530	426	389	486	683	393	561	700	578	450	777	693	206	463	626	123	127	199	53	78	176	29	host	gene-SAURSH1000_RS04530	False	
gene-SAURSH1000_RS12725	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	host	gene-SAURSH1000_RS12725	False	
gene-SAURSH1000_RS03955	58	101	51	100	88	75	107	86	71	141	95	51	158	101	37	31	44	13	26	25	8	host	gene-SAURSH1000_RS03955	False	
gene-SAURSH1000_RS03165	443	284	376	833	337	542	836	589	506	996	929	291	356	701	98	114	168	44	76	149	33	host	vraG	False	
gene-SAURSH1000_RS05450	194	274	152	327	368	221	309	344	226	425	355	114	174	194	32	43	52	11	60	55	13	host	lspA	False	
gene-SAURSH1000_RS09775	901	345	395	542	349	255	598	352	430	551	521	337	307	547	155	312	106	136	193	148	118	host	gene-SAURSH1000_RS09775	False	
gene-SAURSH1000_RS08895	158	103	117	371	113	130	295	163	145	239	167	73	143	122	22	35	31	12	52	49	13	host	gene-SAURSH1000_RS08895	False	
gene-SAURSH1000_RS00880	178	265	159	337	240	161	315	263	228	330	288	92	360	607	42	81	171	22	84	133	8	host	gene-SAURSH1000_RS00880	False	
gene-SAURSH1000_RS03225	452	518	464	687	664	509	780	698	510	748	675	298	485	609	121	185	190	51	145	178	24	host	gene-SAURSH1000_RS03225	False	
gene-SAURSH1000_RS10905	153	171	134	190	233	180	209	206	157	200	246	79	111	225	38	48	56	21	24	68	5	host	moaD	False	
gene-SAURSH1000_RS07075	282	278	240	438	307	213	390	279	237	400	364	143	238	330	64	86	76	19	67	68	14	host	rnz	False	
gene-SAURSH1000_RS06250	235	115	167	445	131	162	406	184	171	539	201	111	233	130	42	46	37	18	54	23	8	host	gene-SAURSH1000_RS06250	False	
gene-SAURSH1000_RS13005	339	422	280	705	282	351	540	278	300	747	253	187	567	336	86	121	115	33	126	109	22	host	icaR	False	
gene-SAURSH1000_RS04020	201	207	286	263	247	289	280	234	220	274	211	134	219	237	115	81	85	40	26	90	23	host	gene-SAURSH1000_RS04020	False	
gene-SAURSH1000_RS03200	997	1367	1110	1042	1219	1041	1255	945	917	1038	1056	462	682	1103	237	249	256	134	159	310	60	host	gene-SAURSH1000_RS03200	False	
gene-SAURSH1000_RS12945	26	47	10	42	35	32	40	69	32	58	87	15	31	43	10	5	14	3	9	13	4	host	secY2	False	
gene-SAURSH1000_RS02765	686	708	669	875	749	868	908	830	701	842	1010	376	653	884	257	200	344	83	175	293	54	host	gene-SAURSH1000_RS02765	False	
gene-SAURSH1000_RS02975	84	125	133	171	128	185	121	78	151	223	75	50	593	100	54	86	84	25	82	45	9	host	mnhB2	False	
gene-SAURSH1000_RS02865	829	498	1251	1167	395	729	1207	361	793	1089	399	568	633	422	296	193	149	101	112	205	56	host	gene-SAURSH1000_RS02865	False	
gene-SAURSH1000_RS01860	4	3	0	5	2	3	8	4	2	11	2	3	2	3	1	2	1	1	0	3	0	host	gene-SAURSH1000_RS01860	False	
gene-SAURSH1000_RS03215	188	318	246	353	304	256	342	307	237	376	303	115	225	237	62	61	77	34	36	86	16	host	gene-SAURSH1000_RS03215	False	
gene-SAURSH1000_RS07045	395	1284	386	662	1469	325	810	1112	493	645	1189	287	448	800	113	207	178	64	150	201	40	host	gene-SAURSH1000_RS07045	False	
gene-SAURSH1000_RS05320	117	241	94	185	186	109	201	241	116	273	298	79	181	288	15	53	80	10	34	76	6	host	gene-SAURSH1000_RS05320	False	
gene-SAURSH1000_RS08225	34	60	31	37	38	44	42	18	28	58	30	31	44	32	9	10	9	7	3	15	1	host	gene-SAURSH1000_RS08225	False	
gene-SAURSH1000_RS07985	95	95	49	140	97	63	128	104	73	181	140	34	112	114	7	39	39	6	33	49	2	host	gene-SAURSH1000_RS07985	False	
gene-SAURSH1000_RS03590	793	1006	855	1155	883	786	1353	851	909	1081	963	552	594	955	207	212	257	121	154	281	70	host	pepT	False	
gene-SAURSH1000_RS11490	159	295	128	360	211	173	250	196	188	426	181	67	317	279	25	62	104	18	57	96	6	host	gene-SAURSH1000_RS11490	False	
gene-SAURSH1000_RS09615	113	111	71	194	96	101	175	111	87	183	128	54	137	130	21	42	44	9	30	38	5	host	agrB	False	
gene-SAURSH1000_RS12535	168	158	242	239	134	255	218	105	180	238	116	103	248	239	122	83	113	44	46	100	30	host	gene-SAURSH1000_RS12535	False	
gene-SAURSH1000_RS04835	306	217	281	399	186	198	445	279	255	560	506	121	252	364	75	83	107	31	83	98	19	host	gene-SAURSH1000_RS04835	False	
gene-SAURSH1000_RS09585	872	109	1119	907	77	1227	669	53	643	597	110	357	343	149	227	90	66	119	46	102	82	host	groES	False	
gene-CPT_phageK_gp032	0	0	0	47	1	0	7	1	0	121	20	259	714	394	510	1662	1007	2859	5023	2170	3112	phage	gene-CPT_phageK_gp032	False	
gene-SAURSH1000_RS01730	116	200	79	96	307	43	128	211	99	127	231	43	75	116	42	60	40	9	41	40	13	host	gene-SAURSH1000_RS01730	False	
gene-SAURSH1000_RS02260	306	362	231	1768	360	354	302	448	240	374	467	148	205	340	93	48	99	47	39	79	18	host	divIC	False	
gene-SAURSH1000_RS10175	46	189	51	70	133	51	73	93	49	109	64	36	111	153	43	42	65	16	32	58	13	host	gene-SAURSH1000_RS10175	False	
gene-SAURSH1000_RS07590	190	119	235	223	58	266	282	43	179	343	50	110	209	115	87	33	34	36	22	13	22	host	gene-SAURSH1000_RS07590	False	
gene-SAURSH1000_RS03980	420	370	329	585	557	327	556	714	293	687	906	163	385	664	138	129	160	44	145	130	26	host	gene-SAURSH1000_RS03980	False	
gene-SAURSH1000_RS06440	51	40	48	165	43	54	142	58	78	106	83	41	84	61	13	33	22	9	28	20	2	host	gene-SAURSH1000_RS06440	False	
gene-SAURSH1000_RS10405	151	725	121	271	110	99	245	146	182	258	222	98	272	502	69	85	125	47	97	93	22	host	gene-SAURSH1000_RS10405	False	
gene-SAURSH1000_RS00545	15	21	22	18	24	12	15	8	17	17	20	4	18	18	8	9	11	3	3	4	1	host	cap8F	False	
gene-SAURSH1000_RS00335	34	5	47	28	9	40	42	5	30	21	13	11	5	5	5	4	1	4	2	0	1	host	sbnA	False	
gene-SAURSH1000_RS00295	26	31	32	44	30	45	65	42	35	62	67	12	26	53	10	10	10	2	8	20	2	host	gene-SAURSH1000_RS00295	False	
gene-SAURSH1000_RS11335	204	214	156	307	212	184	288	269	186	276	252	119	176	184	47	71	62	17	58	64	6	host	gene-SAURSH1000_RS11335	False	
gene-SAURSH1000_RS04165	319	202	248	426	175	257	457	246	253	520	299	157	293	296	106	79	77	32	96	78	15	host	mnhF1	False	
gene-SAURSH1000_RS00230	139	221	130	176	142	158	201	159	118	237	224	79	215	250	68	60	75	23	32	72	13	host	gene-SAURSH1000_RS00230	False	
gene-SAURSH1000_RS00590	58	46	63	58	55	80	76	53	55	51	66	41	41	62	28	20	20	6	11	14	7	host	cap8O	False	
gene-SAURSH1000_RS00185	552	402	519	537	441	485	767	615	524	446	755	314	222	523	107	107	127	52	98	148	30	host	gene-SAURSH1000_RS00185	False	
gene-SAURSH1000_RS00125	259	150	213	264	162	137	285	213	113	372	372	127	267	554	73	96	141	40	67	192	27	host	adsA	False	
gene-SAURSH1000_RS03435	44	54	54	72	70	68	91	79	48	103	118	30	45	100	10	20	28	4	14	19	2	host	gene-SAURSH1000_RS03435	False	
gene-SAURSH1000_RS06650	915	1038	936	1442	866	1064	1628	774	924	1556	766	586	1198	1169	361	347	448	150	227	418	101	host	gene-SAURSH1000_RS06650	False	
gene-SAURSH1000_RS00635	12	20	2	10	23	8	12	15	7	10	23	3	7	12	3	3	4	0	5	2	1	host	gene-SAURSH1000_RS00635	False	
gene-SAURSH1000_RS04325	35	47	43	77	58	39	78	72	56	81	53	15	38	39	5	22	10	0	11	13	1	host	gene-SAURSH1000_RS04325	False	
gene-SAURSH1000_RS10120	302	287	338	459	252	351	465	286	342	420	324	193	232	239	82	68	70	58	59	78	17	host	gene-SAURSH1000_RS10120	False	
gene-SAURSH1000_RS09155	66	134	86	108	125	116	119	120	91	193	89	37	111	113	35	23	28	14	19	33	7	host	gene-SAURSH1000_RS09155	False	
gene-SAURSH1000_RS07095	133	18	238	158	26	214	142	20	96	157	13	55	153	43	45	11	25	18	10	21	8	host	gene-SAURSH1000_RS07095	False	
gene-SAURSH1000_RS03315	243	587	282	389	365	321	359	294	272	507	293	179	547	502	119	174	211	63	83	200	40	host	gene-SAURSH1000_RS03315	False	
gene-SAURSH1000_RS12245	426	717	496	658	751	576	652	546	528	523	434	199	342	372	89	121	111	43	80	147	33	host	srtA	False	
gene-SAURSH1000_RS11270	118	161	87	141	176	115	216	190	107	195	248	84	109	236	50	44	51	14	24	64	7	host	gene-SAURSH1000_RS11270	False	
gene-SAURSH1000_RS10130	522	502	554	1210	585	560	1169	657	679	1171	806	325	563	833	127	148	272	57	169	226	34	host	gene-SAURSH1000_RS10130	False	
gene-SAURSH1000_RS00975	7	8	12	15	14	10	14	7	21	10	10	4	4	11	4	4	2	3	3	7	0	host	gene-SAURSH1000_RS00975	False	
gene-SAURSH1000_RS03665	68	106	85	161	121	94	154	119	118	218	117	40	166	136	23	21	40	11	14	34	5	host	gene-SAURSH1000_RS03665	False	
gene-SAURSH1000_RS09695	231	158	205	269	289	272	309	292	236	254	318	109	131	319	40	59	73	16	44	105	5	host	rimI	False	
gene-SAURSH1000_RS03100	608	229	553	772	258	552	679	315	579	529	403	370	234	314	135	107	91	104	119	81	50	host	gene-SAURSH1000_RS03100	False	
gene-SAURSH1000_RS06470	6	5	4	6	3	7	5	7	13	19	9	11	15	10	9	9	5	3	3	7	7	host	pstC	False	
gene-SAURSH1000_RS01065	482	48	1365	518	36	1151	529	26	448	711	37	260	1364	380	254	248	59	125	92	85	57	host	lrgA	False	
gene-SAURSH1000_RS06960	123	153	113	201	128	96	164	153	94	233	173	56	148	115	26	30	42	10	42	63	9	host	gene-SAURSH1000_RS06960	False	
gene-SAURSH1000_RS01260	121	119	140	261	121	182	274	174	151	290	109	92	165	122	49	29	40	10	28	21	4	host	gene-SAURSH1000_RS01260	False	
gene-SAURSH1000_RS01830	7	5	6	9	9	4	10	5	6	7	5	1	6	3	1	0	2	1	2	2	1	host	gene-SAURSH1000_RS01830	False	
gene-SAURSH1000_RS13170	65	214	67	98	145	87	89	77	68	155	36	37	276	77	48	115	78	48	82	52	18	host	gene-SAURSH1000_RS13170	False	
gene-SAURSH1000_RS00695	15	16	7	11	19	7	18	17	16	20	25	13	6	20	4	0	9	2	7	8	3	host	rocD	False	
gene-SAURSH1000_RS01250	55	81	64	113	82	94	129	92	75	172	77	51	93	96	20	20	34	5	12	29	2	host	gene-SAURSH1000_RS01250	False	
gene-SAURSH1000_RS01805	17	18	28	26	19	32	31	9	29	33	15	16	25	17	14	4	8	2	6	3	3	host	gene-SAURSH1000_RS01805	False	
gene-SAURSH1000_RS04760	3	2	1	4	3	1	1	4	3	4	4	0	2	2	0	1	1	0	2	0	0	host	gene-SAURSH1000_RS04760	False	
gene-SAURSH1000_RS11715	5	8	10	16	11	11	18	15	7	9	20	2	4	21	1	0	5	2	0	0	0	host	bioA	False	
gene-SAURSH1000_RS08160	29	39	30	37	39	21	55	30	24	44	40	16	33	27	15	8	15	3	8	14	2	host	gene-SAURSH1000_RS08160	False	
gene-SAURSH1000_RS07330	89	109	86	191	169	105	179	152	93	192	209	46	64	120	17	26	35	9	22	32	6	host	gene-SAURSH1000_RS07330	False	
gene-SAURSH1000_RS06115	4	6	4	9	7	3	8	13	6	13	11	6	5	9	1	1	0	1	2	0	0	host	gene-SAURSH1000_RS06115	False	
gene-SAURSH1000_RS04145	363	1791	458	569	740	386	582	878	588	448	782	217	693	1557	129	183	234	58	108	204	36	host	gene-SAURSH1000_RS04145	False	
gene-SAURSH1000_RS06145	373	508	415	732	301	413	746	275	436	877	350	263	706	805	156	241	310	69	151	291	40	host	gene-SAURSH1000_RS06145	False	
gene-SAURSH1000_RS13000	4	1	5	7	5	3	5	3	0	7	3	2	5	6	0	3	1	0	0	1	2	host	gene-SAURSH1000_RS13000	False	
gene-SAURSH1000_RS11810	474	1179	320	909	1332	515	800	1192	707	798	1177	311	441	995	138	235	218	86	225	230	34	host	gene-SAURSH1000_RS11810	False	
gene-SAURSH1000_RS03865	85	87	130	147	105	196	121	67	137	270	50	62	314	114	83	65	74	21	47	39	13	host	gene-SAURSH1000_RS03865	False	
gene-SAURSH1000_RS10430	174	102	210	266	73	221	247	90	234	245	129	96	225	161	53	44	80	23	33	38	11	host	sfaC	False	
gene-SAURSH1000_RS11935	9	7	14	12	9	12	17	4	9	11	16	3	4	3	3	2	6	2	2	7	0	host	cntM	False	
gene-SAURSH1000_RS12095	189	282	305	399	227	232	526	227	312	459	353	204	271	399	110	61	80	47	47	93	25	host	galU	False	
gene-SAURSH1000_RS02775	89	63	82	118	100	72	120	152	95	110	160	64	53	136	20	32	37	16	22	43	9	host	merA	False	
gene-SAURSH1000_RS08445	44	32	33	114	78	34	91	120	57	110	150	21	55	90	12	10	22	2	13	21	0	host	sigS	False	
gene-SAURSH1000_RS07360	109	178	135	140	230	144	201	319	139	192	402	74	102	226	33	34	72	20	42	72	8	host	gene-SAURSH1000_RS07360	False	
gene-SAURSH1000_RS10965	81	63	64	109	114	66	130	103	79	136	141	46	58	88	22	10	25	9	15	24	2	host	gene-SAURSH1000_RS10965	False	
gene-SAURSH1000_RS05405	106	184	132	167	195	124	199	262	141	209	308	66	111	234	51	38	65	24	29	70	14	host	pgeF	False	
gene-CPT_phageK_gp184	0	0	0	69	0	0	6	1	5	70	11	56	449	191	463	3113	2864	6888	5998	6343	4000	phage	gene-CPT_phageK_gp184	False	
gene-SAURSH1000_RS01540	33	28	22	42	30	32	45	44	31	36	60	13	15	49	9	5	7	6	6	14	3	host	gene-SAURSH1000_RS01540	False	
gene-SAURSH1000_RS10950	292	499	321	435	394	361	536	421	338	585	421	196	529	748	120	139	216	59	100	228	39	host	modA	False	
gene-SAURSH1000_RS00375	83	30	122	121	33	102	114	20	108	77	43	63	57	41	13	10	17	16	5	10	6	host	sbnI	False	
gene-SAURSH1000_RS01795	27	49	26	31	44	45	50	29	37	46	34	21	18	36	14	7	15	7	5	11	3	host	gene-SAURSH1000_RS01795	False	
gene-SAURSH1000_RS11380	183	166	177	265	210	168	334	173	188	278	233	102	134	213	48	56	56	20	41	38	11	host	hssS	False	
gene-CPT_phageK_gp227	0	0	0	60	4	1	10	2	1	78	19	86	233	176	166	767	306	1485	6786	1897	5026	phage	gene-CPT_phageK_gp227	False	
gene-SAURSH1000_RS04275	297	174	184	425	262	209	371	287	241	389	398	152	265	297	82	79	92	26	74	71	27	host	gene-SAURSH1000_RS04275	False	
gene-SAURSH1000_RS04160	560	304	452	748	311	435	779	422	437	861	462	278	511	475	147	155	165	71	134	119	37	host	mnhG1	False	
gene-SAURSH1000_RS09120	28	44	25	49	96	52	31	80	42	45	77	31	19	56	13	7	11	9	11	11	2	host	gene-SAURSH1000_RS09120	False	
gene-SAURSH1000_RS11470	204	169	201	315	184	233	227	198	174	308	217	80	152	173	35	43	56	20	31	45	5	host	rsp	False	
gene-SAURSH1000_RS11940	8	5	11	13	7	10	8	6	9	2	7	8	5	9	2	1	5	1	3	1	0	host	cntL	False	
gene-SAURSH1000_RS07300	149	191	172	213	171	213	247	181	183	360	200	78	239	174	45	41	63	15	28	62	10	host	gene-SAURSH1000_RS07300	False	
gene-SAURSH1000_RS11945	10	12	8	15	14	7	12	7	5	2	7	3	10	7	1	2	1	1	3	2	1	host	cntK	False	
gene-CPT_phageK_gp162	0	0	0	5	0	0	94	6	33	1322	167	1034	2296	988	922	488	465	587	378	216	262	phage	gene-CPT_phageK_gp162	False	
gene-SAURSH1000_RS09270	3	41	4	13	114	4	19	131	3	26	167	2	26	75	3	7	30	2	15	13	1	host	gene-SAURSH1000_RS09270	False	
gene-SAURSH1000_RS04150	160	606	213	289	291	178	293	342	268	274	331	111	270	695	74	126	119	31	67	110	18	host	gene-SAURSH1000_RS04150	False	
gene-SAURSH1000_RS05535	66	108	53	99	124	59	107	142	52	126	156	24	69	133	13	26	55	7	36	46	7	host	gene-SAURSH1000_RS05535	False	
gene-SAURSH1000_RS06645	569	532	516	791	383	606	955	404	491	828	355	325	618	574	171	200	228	101	136	218	61	host	gene-SAURSH1000_RS06645	False	
gene-SAURSH1000_RS04425	987	1203	1038	1594	1277	1194	1788	1330	1091	1736	1300	585	871	1070	321	222	323	120	180	339	63	host	gene-SAURSH1000_RS04425_gene_pepF	False	
gene-SAURSH1000_RS03510	270	170	188	338	176	194	318	229	225	342	255	109	170	214	49	70	78	22	64	77	13	host	queF	False	
gene-SAURSH1000_RS03005	473	638	343	851	737	408	820	673	380	940	676	313	866	822	176	319	342	99	229	334	48	host	gene-SAURSH1000_RS03005	False	
